GCA_000006745.1_00927	408	hypothetical protein
GCA_000009745.1_04430	743	Pectate disaccharide-lyase
GCA_000016245.1_00443	408	hypothetical protein
GCA_000021605.1_00885	408	hypothetical protein
GCA_000021625.1_00946	408	hypothetical protein
GCA_000022585.1_02455	408	hypothetical protein
GCA_000024825.1_03944	742	Pectate disaccharide-lyase
GCA_000152425.1_02156	408	hypothetical protein
GCA_000152445.1_01114	408	hypothetical protein
GCA_000152445.1_02247	834	hypothetical protein
GCA_000152465.2_01589	408	hypothetical protein
GCA_000152485.1_04303	742	Pectate disaccharide-lyase
GCA_000152765.1_02114	888	hypothetical protein
GCA_000152765.1_02787	409	hypothetical protein
GCA_000153005.1_02259	538	hypothetical protein
GCA_000153785.3_02530	408	hypothetical protein
GCA_000153865.1_03328	408	hypothetical protein
GCA_000153945.1_02895	408	hypothetical protein
GCA_000153965.1_02286	408	hypothetical protein
GCA_000153985.3_02029	408	hypothetical protein
GCA_000154005.2_01224	408	hypothetical protein
GCA_000154025.1_03660	905	hypothetical protein
GCA_000165125.2_03059	1714	Hemolysin
GCA_000166455.2_00410	408	hypothetical protein
GCA_000166475.2_02461	408	hypothetical protein
GCA_000166495.2_00346	408	hypothetical protein
GCA_000167935.2_02306	408	hypothetical protein
GCA_000168895.2_01859	408	hypothetical protein
GCA_000168915.3_01756	408	hypothetical protein
GCA_000168935.3_00022	397	hypothetical protein
GCA_000168935.3_00114	3004	hypothetical protein
GCA_000168935.3_01856	834	hypothetical protein
GCA_000169995.1_00769	538	hypothetical protein
GCA_000171815.1_03139	1043	hypothetical protein
GCA_000174115.1_01793	408	hypothetical protein
GCA_000174115.1_02643	834	hypothetical protein
GCA_000174235.1_00700	839	hypothetical protein
GCA_000174235.1_03232	408	hypothetical protein
GCA_000174255.1_00123	397	hypothetical protein
GCA_000174275.1_01566	408	hypothetical protein
GCA_000174295.1_02769	374	hypothetical protein
GCA_000174295.1_02851	408	hypothetical protein
GCA_000174315.1_00207	408	hypothetical protein
GCA_000174335.1_03300	408	hypothetical protein
GCA_000175695.1_02757	408	hypothetical protein
GCA_000175975.1_00892	547	hypothetical protein
GCA_000175975.1_02288	393	hypothetical protein
GCA_000175975.1_02863	507	hypothetical protein
GCA_000175975.1_03929	2988	hypothetical protein
GCA_000175995.1_01868	287	hypothetical protein
GCA_000175995.1_01869	79	hypothetical protein
GCA_000175995.1_03075	547	hypothetical protein
GCA_000175995.1_03745	507	hypothetical protein
GCA_000176135.1_02497	410	hypothetical protein
GCA_000176135.1_02547	404	hypothetical protein
GCA_000176155.1_00633	854	hypothetical protein
GCA_000176155.1_00635	742	Pectate disaccharide-lyase
GCA_000176175.1_01981	745	Pectate disaccharide-lyase
GCA_000176175.1_01983	850	hypothetical protein
GCA_000176175.1_02276	292	hypothetical protein
GCA_000176215.1_00468	834	hypothetical protein
GCA_000176215.1_01130	390	hypothetical protein
GCA_000176235.1_01580	454	putative ABC transporter binding protein NosD
GCA_000176375.1_00110	507	hypothetical protein
GCA_000176375.1_00811	374	hypothetical protein
GCA_000176375.1_02175	547	hypothetical protein
GCA_000176375.1_03030	393	hypothetical protein
GCA_000176395.1_01619	408	hypothetical protein
GCA_000176415.1_00172	381	hypothetical protein
GCA_000176415.1_01050	543	hypothetical protein
GCA_000176415.1_03537	1232	hypothetical protein
GCA_000176435.1_00950	408	hypothetical protein
GCA_000176455.1_00698	830	hypothetical protein
GCA_000176455.1_01743	408	hypothetical protein
GCA_000176715.1_01753	834	hypothetical protein
GCA_000176715.1_02880	401	hypothetical protein
GCA_000181535.1_03875	541	hypothetical protein
GCA_000182345.1_00525	742	Pectate disaccharide-lyase
GCA_000182365.1_01353	742	Pectate disaccharide-lyase
GCA_000182385.1_00846	742	Pectate disaccharide-lyase
GCA_000182465.1_03313	742	Pectate disaccharide-lyase
GCA_000182685.1_01521	905	hypothetical protein
GCA_000182685.1_03824	538	hypothetical protein
GCA_000184325.1_04346	745	Pectate disaccharide-lyase
GCA_000184325.1_04348	850	hypothetical protein
GCA_000186585.1_04301	743	Pectate disaccharide-lyase
GCA_000189275.2_02777	537	hypothetical protein
GCA_000195065.1_00885	279	hypothetical protein
GCA_000195065.1_00886	135	hypothetical protein
GCA_000195225.2_00982	905	hypothetical protein
GCA_000195415.2_00728	742	Pectate disaccharide-lyase
GCA_000195415.2_02343	309	hypothetical protein
GCA_000195475.2_02708	404	hypothetical protein
GCA_000195475.2_03447	410	hypothetical protein
GCA_000196095.1_03133	742	Pectate disaccharide-lyase
GCA_000220725.2_01562	408	hypothetical protein
GCA_000220745.2_02378	408	hypothetical protein
GCA_000220765.2_00550	293	hypothetical protein
GCA_000220785.2_01759	293	hypothetical protein
GCA_000220785.2_02864	850	hypothetical protein
GCA_000220785.2_02866	745	Pectate disaccharide-lyase
GCA_000221345.1_01761	408	hypothetical protein
GCA_000221365.1_01875	408	hypothetical protein
GCA_000221385.1_01890	408	hypothetical protein
GCA_000221405.1_01405	408	hypothetical protein
GCA_000221425.1_00996	408	hypothetical protein
