Description	Count	contig
CDS	5	GCA_013114135.1_47|165-2204
connector	0	GCA_013114135.1_47|165-2204
DNA, RNA and nucleotide metabolism	0	GCA_013114135.1_47|165-2204
head and packaging	0	GCA_013114135.1_47|165-2204
integration and excision	0	GCA_013114135.1_47|165-2204
lysis	0	GCA_013114135.1_47|165-2204
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_47|165-2204
other	0	GCA_013114135.1_47|165-2204
tail	0	GCA_013114135.1_47|165-2204
transcription regulation	0	GCA_013114135.1_47|165-2204
unknown function	5	GCA_013114135.1_47|165-2204
tRNAs	0	GCA_013114135.1_47|165-2204
CRISPRs	0	GCA_013114135.1_47|165-2204
tmRNAs	0	GCA_013114135.1_47|165-2204
VFDB_Virulence_Factors	0	GCA_013114135.1_47|165-2204
CARD_AMR_Genes	0	GCA_013114135.1_47|165-2204
