Description	Count	contig
CDS	20	GCA_013114135.1_9|19711-29921
connector	0	GCA_013114135.1_9|19711-29921
DNA, RNA and nucleotide metabolism	2	GCA_013114135.1_9|19711-29921
head and packaging	2	GCA_013114135.1_9|19711-29921
integration and excision	1	GCA_013114135.1_9|19711-29921
lysis	0	GCA_013114135.1_9|19711-29921
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_9|19711-29921
other	0	GCA_013114135.1_9|19711-29921
tail	0	GCA_013114135.1_9|19711-29921
transcription regulation	3	GCA_013114135.1_9|19711-29921
unknown function	12	GCA_013114135.1_9|19711-29921
tRNAs	0	GCA_013114135.1_9|19711-29921
CRISPRs	0	GCA_013114135.1_9|19711-29921
tmRNAs	0	GCA_013114135.1_9|19711-29921
VFDB_Virulence_Factors	0	GCA_013114135.1_9|19711-29921
CARD_AMR_Genes	0	GCA_013114135.1_9|19711-29921
