Description	Count	contig
CDS	3	GCA_015343595.1_1033|2-2789
connector	0	GCA_015343595.1_1033|2-2789
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1033|2-2789
head and packaging	2	GCA_015343595.1_1033|2-2789
integration and excision	0	GCA_015343595.1_1033|2-2789
lysis	0	GCA_015343595.1_1033|2-2789
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1033|2-2789
other	0	GCA_015343595.1_1033|2-2789
tail	0	GCA_015343595.1_1033|2-2789
transcription regulation	0	GCA_015343595.1_1033|2-2789
unknown function	1	GCA_015343595.1_1033|2-2789
tRNAs	0	GCA_015343595.1_1033|2-2789
CRISPRs	0	GCA_015343595.1_1033|2-2789
tmRNAs	0	GCA_015343595.1_1033|2-2789
VFDB_Virulence_Factors	0	GCA_015343595.1_1033|2-2789
CARD_AMR_Genes	0	GCA_015343595.1_1033|2-2789
