gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
TEXVGCIE_CDS_0001	1	1194	+	GCA_002216685.1_2_711848-810357	-32568336.03702215	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	TEXVGCIE_CDS_0001
TEXVGCIE_CDS_0002	1197	2228	+	GCA_002216685.1_2_711848-810357	-882107.2811789686	38714	141.0	1.0	1.267e-43	p185261 VI_11784	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	TEXVGCIE_CDS_0002
TEXVGCIE_CDS_0003	2219	2386	+	GCA_002216685.1_2_711848-810357	-0.0940991242901159	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	TEXVGCIE_CDS_0003
TEXVGCIE_CDS_0004	2440	2541	+	GCA_002216685.1_2_711848-810357	-2.914327740630819	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	TEXVGCIE_CDS_0004
TEXVGCIE_CDS_0005	2691	2590	-	GCA_002216685.1_2_711848-810357	-6.423901979772605	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	TEXVGCIE_CDS_0005
TEXVGCIE_CDS_0006	3068	2790	-	GCA_002216685.1_2_711848-810357	-2.26127342123948	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	TEXVGCIE_CDS_0006
TEXVGCIE_CDS_0007	7030	3131	-	GCA_002216685.1_2_711848-810357	-1.771816977224157e+28	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	TEXVGCIE_CDS_0007
TEXVGCIE_CDS_0008	7253	7056	-	GCA_002216685.1_2_711848-810357	-54.86299905008119	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	TEXVGCIE_CDS_0008
TEXVGCIE_CDS_0009	8680	7457	-	GCA_002216685.1_2_711848-810357	-325226985.5160944	216	178.0	0.407	1.487e-52	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	TEXVGCIE_CDS_0009
TEXVGCIE_CDS_0010	8844	8662	-	GCA_002216685.1_2_711848-810357	-10.568961399355304	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	TEXVGCIE_CDS_0010
TEXVGCIE_CDS_0011	9113	8850	-	GCA_002216685.1_2_711848-810357	-8.62125067909618	16987	192.0	1.0	1.636e-60	p435607 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	TEXVGCIE_CDS_0011
TEXVGCIE_CDS_0012	9155	9346	+	GCA_002216685.1_2_711848-810357	-0.527271954719254	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	TEXVGCIE_CDS_0012
TEXVGCIE_CDS_0013	9997	9332	-	GCA_002216685.1_2_711848-810357	-28334.396533423227	8558	96.0	0.586	5.738e-27	p316397 VI_07324	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	TEXVGCIE_CDS_0013
TEXVGCIE_CDS_0014	10116	10352	+	GCA_002216685.1_2_711848-810357	-39.60767129891183	35	42.0	0.425	1.414e-08	p323300 VI_10199	PHANOTATE	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	TEXVGCIE_CDS_0014
TEXVGCIE_CDS_0015	10300	10653	+	GCA_002216685.1_2_711848-810357	-110.6025062087092	35410	95.0	0.584	7.17e-27	KY658678_p35	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	TEXVGCIE_CDS_0015
TEXVGCIE_CDS_0016	10653	10817	+	GCA_002216685.1_2_711848-810357	-50.30164055974267	24084	141.0	1.0	1.651e-43	p239428 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	TEXVGCIE_CDS_0016
TEXVGCIE_CDS_0017	10825	11001	+	GCA_002216685.1_2_711848-810357	-3.169297774616063	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	TEXVGCIE_CDS_0017
TEXVGCIE_CDS_0018	10986	11954	+	GCA_002216685.1_2_711848-810357	-459575.3998504166	1032	177.0	0.41	2.0299999999999997e-51	p113701 VI_02986	PHANOTATE	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	TEXVGCIE_CDS_0018
TEXVGCIE_CDS_0019	12066	12836	+	GCA_002216685.1_2_711848-810357	-20130.937433197592	17382	552.0	1.0	1.601e-181	p239430 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	TEXVGCIE_CDS_0019
TEXVGCIE_CDS_0020	12950	13795	+	GCA_002216685.1_2_711848-810357	-546801.9567746787	370	253.0	0.503	1.3480000000000002e-78	p248311 VI_09499	PHANOTATE	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	TEXVGCIE_CDS_0020
TEXVGCIE_CDS_0021	13788	15485	+	GCA_002216685.1_2_711848-810357	-22642374337.89565	38407	503.0	0.712	3.081e-163	p52050 VI_02694	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	TEXVGCIE_CDS_0021
TEXVGCIE_CDS_0022	15482	17569	+	GCA_002216685.1_2_711848-810357	-43162072192948.18	24564	468.0	1.0	7.321e-154	p435596 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0022	TEXVGCIE_CDS_0022
TEXVGCIE_CDS_0023	17784	17647	-	GCA_002216685.1_2_711848-810357	-11.600788259521062	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0023	TEXVGCIE_CDS_0023
TEXVGCIE_CDS_0024	17785	17931	+	GCA_002216685.1_2_711848-810357	-13.622940034945684	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0024	TEXVGCIE_CDS_0024
TEXVGCIE_CDS_0025	17928	18791	+	GCA_002216685.1_2_711848-810357	-18532.211594760265	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0025	TEXVGCIE_CDS_0025
TEXVGCIE_CDS_0026	18929	19135	+	GCA_002216685.1_2_711848-810357	-1.7468865411935843	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0026	TEXVGCIE_CDS_0026
TEXVGCIE_CDS_0027	19126	19437	+	GCA_002216685.1_2_711848-810357	-32.11351791948766	38046	99.0	1.0	1.211e-28	p185311 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0027	TEXVGCIE_CDS_0027
TEXVGCIE_CDS_0028	19506	20024	+	GCA_002216685.1_2_711848-810357	-966.6991133732324	315	141.0	0.484	4.1309999999999994e-41	NC_021802_p101	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0028	TEXVGCIE_CDS_0028
TEXVGCIE_CDS_0029	20034	20180	+	GCA_002216685.1_2_711848-810357	-8.838572027888663	4712	59.0	0.649	4.004e-15	NC_013651_p44	PHANOTATE	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0029	TEXVGCIE_CDS_0029
TEXVGCIE_CDS_0030	20222	20443	+	GCA_002216685.1_2_711848-810357	-20.387316131469483	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0030	TEXVGCIE_CDS_0030
TEXVGCIE_CDS_0031	20456	20677	+	GCA_002216685.1_2_711848-810357	-41.803905342874096	25098	171.0	1.0	2.1279999999999996e-53	p185315 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0031	TEXVGCIE_CDS_0031
TEXVGCIE_CDS_0032	20680	21258	+	GCA_002216685.1_2_711848-810357	-1395.8251868045788	6609	315.0	0.779	9.661e-101	p231837 VI_06592	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0032	TEXVGCIE_CDS_0032
TEXVGCIE_CDS_0033	21255	21530	+	GCA_002216685.1_2_711848-810357	-48.81225375151165	6699	122.0	0.66	6.642e-36	p231838 VI_06592	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0033	TEXVGCIE_CDS_0033
TEXVGCIE_CDS_0034	21536	21685	+	GCA_002216685.1_2_711848-810357	-1.634160824018888	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0034	TEXVGCIE_CDS_0034
TEXVGCIE_CDS_0035	21648	22652	+	GCA_002216685.1_2_711848-810357	-1099978.4261902117	10452	246.0	0.751	2.723e-77	p214738 VI_11622	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0035	TEXVGCIE_CDS_0035
TEXVGCIE_CDS_0036	22715	23920	+	GCA_002216685.1_2_711848-810357	-15570255.697912388	334	516.0	0.653	9.378e-167	p44041 VI_02700	PHANOTATE	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0036	TEXVGCIE_CDS_0036
