Description	Count	contig
CDS	3	GCA_015343595.1_1118|3-1083
connector	2	GCA_015343595.1_1118|3-1083
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1118|3-1083
head and packaging	0	GCA_015343595.1_1118|3-1083
integration and excision	0	GCA_015343595.1_1118|3-1083
lysis	0	GCA_015343595.1_1118|3-1083
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1118|3-1083
other	0	GCA_015343595.1_1118|3-1083
tail	0	GCA_015343595.1_1118|3-1083
transcription regulation	0	GCA_015343595.1_1118|3-1083
unknown function	1	GCA_015343595.1_1118|3-1083
tRNAs	0	GCA_015343595.1_1118|3-1083
CRISPRs	0	GCA_015343595.1_1118|3-1083
tmRNAs	0	GCA_015343595.1_1118|3-1083
VFDB_Virulence_Factors	0	GCA_015343595.1_1118|3-1083
CARD_AMR_Genes	0	GCA_015343595.1_1118|3-1083
