Description	Count	contig
CDS	7	GCA_015343595.1_1122|247-3078
connector	0	GCA_015343595.1_1122|247-3078
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1122|247-3078
head and packaging	0	GCA_015343595.1_1122|247-3078
integration and excision	0	GCA_015343595.1_1122|247-3078
lysis	3	GCA_015343595.1_1122|247-3078
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1122|247-3078
other	0	GCA_015343595.1_1122|247-3078
tail	0	GCA_015343595.1_1122|247-3078
transcription regulation	0	GCA_015343595.1_1122|247-3078
unknown function	4	GCA_015343595.1_1122|247-3078
tRNAs	0	GCA_015343595.1_1122|247-3078
CRISPRs	0	GCA_015343595.1_1122|247-3078
tmRNAs	0	GCA_015343595.1_1122|247-3078
VFDB_Virulence_Factors	0	GCA_015343595.1_1122|247-3078
CARD_AMR_Genes	0	GCA_015343595.1_1122|247-3078
