Description	Count	contig
CDS	2	GCA_015343595.1_1315|285-1840
connector	0	GCA_015343595.1_1315|285-1840
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1315|285-1840
head and packaging	0	GCA_015343595.1_1315|285-1840
integration and excision	1	GCA_015343595.1_1315|285-1840
lysis	0	GCA_015343595.1_1315|285-1840
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1315|285-1840
other	0	GCA_015343595.1_1315|285-1840
tail	0	GCA_015343595.1_1315|285-1840
transcription regulation	0	GCA_015343595.1_1315|285-1840
unknown function	1	GCA_015343595.1_1315|285-1840
tRNAs	0	GCA_015343595.1_1315|285-1840
CRISPRs	0	GCA_015343595.1_1315|285-1840
tmRNAs	0	GCA_015343595.1_1315|285-1840
VFDB_Virulence_Factors	0	GCA_015343595.1_1315|285-1840
CARD_AMR_Genes	0	GCA_015343595.1_1315|285-1840
