Description	Count	contig
CDS	4	GCA_015343595.1_1474|2-1138
connector	0	GCA_015343595.1_1474|2-1138
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1474|2-1138
head and packaging	0	GCA_015343595.1_1474|2-1138
integration and excision	0	GCA_015343595.1_1474|2-1138
lysis	0	GCA_015343595.1_1474|2-1138
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1474|2-1138
other	1	GCA_015343595.1_1474|2-1138
tail	0	GCA_015343595.1_1474|2-1138
transcription regulation	0	GCA_015343595.1_1474|2-1138
unknown function	3	GCA_015343595.1_1474|2-1138
tRNAs	0	GCA_015343595.1_1474|2-1138
CRISPRs	0	GCA_015343595.1_1474|2-1138
tmRNAs	0	GCA_015343595.1_1474|2-1138
VFDB_Virulence_Factors	0	GCA_015343595.1_1474|2-1138
CARD_AMR_Genes	0	GCA_015343595.1_1474|2-1138
