Description	Count	contig
CDS	6	GCA_015343595.1_1142|2-4721
connector	0	GCA_015343595.1_1142|2-4721
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1142|2-4721
head and packaging	0	GCA_015343595.1_1142|2-4721
integration and excision	0	GCA_015343595.1_1142|2-4721
lysis	0	GCA_015343595.1_1142|2-4721
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1142|2-4721
other	0	GCA_015343595.1_1142|2-4721
tail	0	GCA_015343595.1_1142|2-4721
transcription regulation	0	GCA_015343595.1_1142|2-4721
unknown function	6	GCA_015343595.1_1142|2-4721
tRNAs	0	GCA_015343595.1_1142|2-4721
CRISPRs	0	GCA_015343595.1_1142|2-4721
tmRNAs	0	GCA_015343595.1_1142|2-4721
VFDB_Virulence_Factors	0	GCA_015343595.1_1142|2-4721
CARD_AMR_Genes	0	GCA_015343595.1_1142|2-4721
