Description	Count	contig
CDS	6	GCA_015343595.1_1004|2-2316
connector	0	GCA_015343595.1_1004|2-2316
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_1004|2-2316
head and packaging	0	GCA_015343595.1_1004|2-2316
integration and excision	0	GCA_015343595.1_1004|2-2316
lysis	0	GCA_015343595.1_1004|2-2316
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1004|2-2316
other	1	GCA_015343595.1_1004|2-2316
tail	0	GCA_015343595.1_1004|2-2316
transcription regulation	1	GCA_015343595.1_1004|2-2316
unknown function	2	GCA_015343595.1_1004|2-2316
tRNAs	0	GCA_015343595.1_1004|2-2316
CRISPRs	0	GCA_015343595.1_1004|2-2316
tmRNAs	0	GCA_015343595.1_1004|2-2316
VFDB_Virulence_Factors	0	GCA_015343595.1_1004|2-2316
CARD_AMR_Genes	0	GCA_015343595.1_1004|2-2316
