gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
UTXCNRFB_CDS_0001	1	615	+	GCA_001402675.1_4_217771-307261	-16867.633296062115	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	UTXCNRFB_CDS_0001
UTXCNRFB_CDS_0002	935	726	-	GCA_001402675.1_4_217771-307261	-26.10442669071356	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	UTXCNRFB_CDS_0002
UTXCNRFB_CDS_0003	2125	902	-	GCA_001402675.1_4_217771-307261	-361891692.515977	216	180.0	0.411	2.8499999999999996e-53	p381219 VI_06799	PHANOTATE	CDS	#fea328	integrase	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	UTXCNRFB_CDS_0003
UTXCNRFB_CDS_0004	2289	2107	-	GCA_001402675.1_4_217771-307261	-9.11004658020998	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	UTXCNRFB_CDS_0004
UTXCNRFB_CDS_0005	2558	2295	-	GCA_001402675.1_4_217771-307261	-8.640034803673599	16987	198.0	1.0	1.793e-62	p435607 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	UTXCNRFB_CDS_0005
UTXCNRFB_CDS_0006	3436	2771	-	GCA_001402675.1_4_217771-307261	-17660.601444414788	8558	96.0	0.586	5.265e-27	p316397 VI_07324	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	UTXCNRFB_CDS_0006
UTXCNRFB_CDS_0007	3528	3791	+	GCA_001402675.1_4_217771-307261	-27.85021639144608	35	42.0	0.425	1.297e-08	p323300 VI_10199	PHANOTATE	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	UTXCNRFB_CDS_0007
UTXCNRFB_CDS_0008	3736	4092	+	GCA_001402675.1_4_217771-307261	-164.19588163521104	35410	95.0	0.584	6.579e-27	KY658678_p35	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	UTXCNRFB_CDS_0008
UTXCNRFB_CDS_0009	4092	4256	+	GCA_001402675.1_4_217771-307261	-40.92725506605668	24084	138.0	1.0	1.3910000000000002e-42	p239428 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	UTXCNRFB_CDS_0009
UTXCNRFB_CDS_0010	4264	4440	+	GCA_001402675.1_4_217771-307261	-2.7563942545713163	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	UTXCNRFB_CDS_0010
UTXCNRFB_CDS_0011	4425	5393	+	GCA_001402675.1_4_217771-307261	-668833.966535692	1032	175.0	0.406	1.204e-50	p113701 VI_02986	PHANOTATE	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	UTXCNRFB_CDS_0011
UTXCNRFB_CDS_0012	5505	6275	+	GCA_001402675.1_4_217771-307261	-27457.264907852976	17382	555.0	1.0	8.601e-183	p239430 VI_07339	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	UTXCNRFB_CDS_0012
UTXCNRFB_CDS_0013	6389	7234	+	GCA_001402675.1_4_217771-307261	-395747.9022908727	370	255.0	0.505	3.512e-79	p248311 VI_09499	PHANOTATE	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	UTXCNRFB_CDS_0013
