gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
PUNTREKW_CDS_0001	543	1	-	GCA_013114135.1_2|329387-363522	-6246.653093512447	36782	135.0	0.435	2.205e-36	p366466 VI_12023	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	PUNTREKW_CDS_0001
PUNTREKW_CDS_0002	1194	565	-	GCA_013114135.1_2|329387-363522	-335778.96915321844	34054	53.0	0.445	1.201e-12	NC_019488_p3	PHANOTATE	CDS	#a861e3	transcriptional repressor	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	PUNTREKW_CDS_0002
PUNTREKW_CDS_0003	1265	1498	+	GCA_013114135.1_2|329387-363522	-34.11986359275576	575	74.0	0.572	2.16e-20	p264496 VI_02100	PHANOTATE	CDS	#fea328	Cox-like excisionase and repressor	integration and excision	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	PUNTREKW_CDS_0003
PUNTREKW_CDS_0004	1502	1600	+	GCA_013114135.1_2|329387-363522	-1.9351686763002025	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	PUNTREKW_CDS_0004
PUNTREKW_CDS_0005	1610	2149	+	GCA_013114135.1_2|329387-363522	-199.56705453178216	101	96.0	0.366	3.395e-26	p277342 VI_02593	PHANOTATE	CDS	#a861e3	CII-like transcriptional activator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	PUNTREKW_CDS_0005
PUNTREKW_CDS_0006	2161	2442	+	GCA_013114135.1_2|329387-363522	-66.23921231849283	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	PUNTREKW_CDS_0006
PUNTREKW_CDS_0007	2554	2958	+	GCA_013114135.1_2|329387-363522	-804.6232374932973	16078	208.0	0.755	2.0720000000000003e-65	p17326 VI_12016	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	PUNTREKW_CDS_0007
PUNTREKW_CDS_0008	2961	3173	+	GCA_013114135.1_2|329387-363522	-77.8614575937922	1812	50.0	0.578	1.56e-10	p240761 VI_03434	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	PUNTREKW_CDS_0008
PUNTREKW_CDS_0009	3170	3574	+	GCA_013114135.1_2|329387-363522	-214.01294861718063	3935	226.0	0.811	1.3300000000000001e-71	p230405 VI_02515	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	PUNTREKW_CDS_0009
PUNTREKW_CDS_0010	3574	3804	+	GCA_013114135.1_2|329387-363522	-107.07446072607856	5095	123.0	0.794	3.6019999999999997e-37	p260396 VI_02419	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	PUNTREKW_CDS_0010
PUNTREKW_CDS_0011	3801	3986	+	GCA_013114135.1_2|329387-363522	-68.31664492065521	12601	100.0	0.79	3.5559999999999996e-29	p242383 VI_09647	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	PUNTREKW_CDS_0011
PUNTREKW_CDS_0012	3986	6709	+	GCA_013114135.1_2|329387-363522	-5.469913869948448e+17	91	550.0	0.46	8.155e-175	p366473 VI_12023	PHANOTATE	CDS	#ffdf59	nicking at origin of replication	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	PUNTREKW_CDS_0012
PUNTREKW_CDS_0013	6709	6819	+	GCA_013114135.1_2|329387-363522	-1.465851408712355	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	PUNTREKW_CDS_0013
PUNTREKW_CDS_0014	6936	7049	+	GCA_013114135.1_2|329387-363522	-3.045120213375777	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	PUNTREKW_CDS_0014
PUNTREKW_CDS_0015	7164	7385	+	GCA_013114135.1_2|329387-363522	-141.057306392597	5581	104.0	0.691	1.8160000000000002e-30	p234522 VI_07694	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	PUNTREKW_CDS_0015
PUNTREKW_CDS_0016	7631	7380	-	GCA_013114135.1_2|329387-363522	-6.063379617670718	603	81.0	0.652	5.808e-23	p326765 VI_03279	PHANOTATE	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	PUNTREKW_CDS_0016
PUNTREKW_CDS_0017	7703	7807	+	GCA_013114135.1_2|329387-363522	-5.630107129365855	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	PUNTREKW_CDS_0017
PUNTREKW_CDS_0018	7862	9550	+	GCA_013114135.1_2|329387-363522	-1474156489213.138	8572	157.0	0.323	7.413e-43	p284602 VI_03272	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0018	PUNTREKW_CDS_0018
PUNTREKW_CDS_0019	9698	9823	+	GCA_013114135.1_2|329387-363522	-0.0623580088313367	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0019	PUNTREKW_CDS_0019
PUNTREKW_CDS_0020	10092	10003	-	GCA_013114135.1_2|329387-363522	-1.4018067687820874	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0020	PUNTREKW_CDS_0020
PUNTREKW_CDS_0021	11113	10079	-	GCA_013114135.1_2|329387-363522	-3488249.3096759995	68	212.0	0.648	6.541e-65	p356679 VI_02767	PHANOTATE	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0021	PUNTREKW_CDS_0021
PUNTREKW_CDS_0022	12901	11114	-	GCA_013114135.1_2|329387-363522	-106420104.79301022	5909	265.0	0.567	5.9629999999999996e-83	p319068 VI_03583	PHANOTATE	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0022	PUNTREKW_CDS_0022
PUNTREKW_CDS_0023	13085	12909	-	GCA_013114135.1_2|329387-363522	-0.2863962111445981	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0023	PUNTREKW_CDS_0023
PUNTREKW_CDS_0024	13077	13946	+	GCA_013114135.1_2|329387-363522	-6853054.956373186	73	201.0	0.471	2.275e-60	p379932 VI_08141	PHANOTATE	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0024	PUNTREKW_CDS_0024
PUNTREKW_CDS_0025	13946	14950	+	GCA_013114135.1_2|329387-363522	-3500099.917887582	8979	72.0	0.295	1.414e-17	p425161 VI_10683	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0025	PUNTREKW_CDS_0025
PUNTREKW_CDS_0026	14960	15688	+	GCA_013114135.1_2|329387-363522	-803269.9440578659	74	199.0	0.453	3.696e-60	p403060 VI_06811	PHANOTATE	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0026	PUNTREKW_CDS_0026
PUNTREKW_CDS_0027	15805	16272	+	GCA_013114135.1_2|329387-363522	-1000.3050720093628	71	103.0	0.386	7.514e-29	p302602 VI_09539	PHANOTATE	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0027	PUNTREKW_CDS_0027
PUNTREKW_CDS_0028	16305	16793	+	GCA_013114135.1_2|329387-363522	-3042.566756054194	65	80.0	0.366	7.607e-21	p12005 VI_03693	PHANOTATE	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0028	PUNTREKW_CDS_0028
PUNTREKW_CDS_0029	16780	17166	+	GCA_013114135.1_2|329387-363522	-21.545700014262252	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0029	PUNTREKW_CDS_0029
PUNTREKW_CDS_0030	17144	17422	+	GCA_013114135.1_2|329387-363522	-32.633786823715035	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0030	PUNTREKW_CDS_0030
PUNTREKW_CDS_0031	17465	18532	+	GCA_013114135.1_2|329387-363522	-531301.8716104864	907	401.0	0.585	7.573000000000001e-128	NC_009542_p28	PHANOTATE	CDS	#07e9a2	tail sheath	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0031	PUNTREKW_CDS_0031
PUNTREKW_CDS_0032	18533	18988	+	GCA_013114135.1_2|329387-363522	-14613.550254258467	1182	250.0	0.8	8.493e-80	p255618 VI_08112	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0032	PUNTREKW_CDS_0032
PUNTREKW_CDS_0033	19001	19216	+	GCA_013114135.1_2|329387-363522	-62.994971238870704	54	43.0	0.403	1.535e-09	MF490239_p53	PHANOTATE	CDS	#838383	DksA-like zinc-finger protein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0033	PUNTREKW_CDS_0033
PUNTREKW_CDS_0034	19213	19704	+	GCA_013114135.1_2|329387-363522	-1087.4135730362827	3108	168.0	0.553	4.288e-51	p157226 VI_04254	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0034	PUNTREKW_CDS_0034
PUNTREKW_CDS_0035	19701	19940	+	GCA_013114135.1_2|329387-363522	-73.83953520256803	21044	145.0	0.93	1.03e-44	p309043 VI_07697	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0035	PUNTREKW_CDS_0035
PUNTREKW_CDS_0036	19943	20188	+	GCA_013114135.1_2|329387-363522	-31.08259859007856	7885	113.0	0.707	1.069e-33	p377942 VI_11333	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0036	PUNTREKW_CDS_0036
PUNTREKW_CDS_0037	20185	20448	+	GCA_013114135.1_2|329387-363522	-42.91555394815369	1214	98.0	0.592	3.017e-28	p234538 VI_07694	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0037	PUNTREKW_CDS_0037
PUNTREKW_CDS_0038	20490	20627	+	GCA_013114135.1_2|329387-363522	-0.4657999440110618	7050	38.0	0.693	6.207e-08	p309046 VI_07697	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0038	PUNTREKW_CDS_0038
PUNTREKW_CDS_0039	20634	23330	+	GCA_013114135.1_2|329387-363522	-573827545700.9355	19166	185.0	0.537	1.196e-56	p255465 VI_06352	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0039	PUNTREKW_CDS_0039
PUNTREKW_CDS_0040	23327	23653	+	GCA_013114135.1_2|329387-363522	-1288.4007472599803	1237	168.0	0.786	4.205e-52	p245436 VI_02414	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0040	PUNTREKW_CDS_0040
PUNTREKW_CDS_0041	23650	24834	+	GCA_013114135.1_2|329387-363522	-949302.3165114032	6	74.0	0.228	1.622e-16	p248291 VI_09499	PHANOTATE	CDS	#07e9a2	baseplate wedge subunit	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0041	PUNTREKW_CDS_0041
PUNTREKW_CDS_0042	24827	25495	+	GCA_013114135.1_2|329387-363522	-54573.38359536309	1228	237.0	0.567	5.724e-74	p284533 VI_03834	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0042	PUNTREKW_CDS_0042
PUNTREKW_CDS_0043	25502	26701	+	GCA_013114135.1_2|329387-363522	-4726147.99180621	13714	154.0	0.542	1.2649999999999999e-45	p143339 VI_09468	PHANOTATE	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0043	PUNTREKW_CDS_0043
PUNTREKW_CDS_0044	26712	27023	+	GCA_013114135.1_2|329387-363522	-26.95824932373427	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0044	PUNTREKW_CDS_0044
PUNTREKW_CDS_0045	27016	27402	+	GCA_013114135.1_2|329387-363522	-1215.3972404282292	37968	42.0	0.387	2.309e-08	p427881 VI_03631	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0045	PUNTREKW_CDS_0045
PUNTREKW_CDS_0046	27399	28292	+	GCA_013114135.1_2|329387-363522	-82039.1128572611	1677	195.0	0.396	1.169e-58	NC_001697_p40	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0046	PUNTREKW_CDS_0046
PUNTREKW_CDS_0047	28289	28837	+	GCA_013114135.1_2|329387-363522	-2739.412381417828	1398	158.0	0.529	1.136e-47	p43006 VI_12007	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0047	PUNTREKW_CDS_0047
PUNTREKW_CDS_0048	28834	30414	+	GCA_013114135.1_2|329387-363522	-1668404270.644114	2258	606.0	0.615	3.299e-195	p255640 VI_08172	PHANOTATE	CDS	#07e9a2	baseplate protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0048	PUNTREKW_CDS_0048
PUNTREKW_CDS_0049	30414	30611	+	GCA_013114135.1_2|329387-363522	-30.414234977024428	5576	85.0	0.652	2.676e-24	NC_019722_p12	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0049	PUNTREKW_CDS_0049
PUNTREKW_CDS_0050	31263	30640	-	GCA_013114135.1_2|329387-363522	-93826.8951771357	1349	80.0	0.481	5.431e-20	p427351 VI_06731	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0050	PUNTREKW_CDS_0050
PUNTREKW_CDS_0051	31409	31314	-	GCA_013114135.1_2|329387-363522	-1.4132843620519873	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0051	PUNTREKW_CDS_0051
PUNTREKW_CDS_0052	32647	31451	-	GCA_013114135.1_2|329387-363522	-65017917.69405121	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0052	PUNTREKW_CDS_0052
PUNTREKW_CDS_0053	32749	32654	-	GCA_013114135.1_2|329387-363522	-0.9043110371331446	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0053	PUNTREKW_CDS_0053
PUNTREKW_CDS_0054	32762	32974	+	GCA_013114135.1_2|329387-363522	-0.5424487937845306	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0054	PUNTREKW_CDS_0054
PUNTREKW_CDS_0055	33019	33690	+	GCA_013114135.1_2|329387-363522	-24235.10805696941	18886	163.0	0.798	1.688e-47	p389890 VI_07708	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0055	PUNTREKW_CDS_0055
PUNTREKW_CDS_0056	33823	33936	+	GCA_013114135.1_2|329387-363522	-0.4284321619332574	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0056	PUNTREKW_CDS_0056
PUNTREKW_CDS_0057	33969	34136	+	GCA_013114135.1_2|329387-363522	-3.792013851204744	9582	81.0	0.698	2.836e-19	p95148 VI_11487	PHANOTATE	CDS	#838383	dehydrogenase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0057	PUNTREKW_CDS_0057
