Description	Count	contig
CDS	2	GCA_015343595.1_222|22-1513
connector	0	GCA_015343595.1_222|22-1513
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_222|22-1513
head and packaging	0	GCA_015343595.1_222|22-1513
integration and excision	0	GCA_015343595.1_222|22-1513
lysis	0	GCA_015343595.1_222|22-1513
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_222|22-1513
other	0	GCA_015343595.1_222|22-1513
tail	0	GCA_015343595.1_222|22-1513
transcription regulation	0	GCA_015343595.1_222|22-1513
unknown function	2	GCA_015343595.1_222|22-1513
tRNAs	0	GCA_015343595.1_222|22-1513
CRISPRs	0	GCA_015343595.1_222|22-1513
tmRNAs	0	GCA_015343595.1_222|22-1513
VFDB_Virulence_Factors	0	GCA_015343595.1_222|22-1513
CARD_AMR_Genes	0	GCA_015343595.1_222|22-1513
