Description	Count	contig
CDS	6	GCA_015343595.1_1031|1-2014
connector	0	GCA_015343595.1_1031|1-2014
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_1031|1-2014
head and packaging	0	GCA_015343595.1_1031|1-2014
integration and excision	0	GCA_015343595.1_1031|1-2014
lysis	0	GCA_015343595.1_1031|1-2014
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1031|1-2014
other	0	GCA_015343595.1_1031|1-2014
tail	0	GCA_015343595.1_1031|1-2014
transcription regulation	1	GCA_015343595.1_1031|1-2014
unknown function	4	GCA_015343595.1_1031|1-2014
tRNAs	0	GCA_015343595.1_1031|1-2014
CRISPRs	0	GCA_015343595.1_1031|1-2014
tmRNAs	0	GCA_015343595.1_1031|1-2014
VFDB_Virulence_Factors	0	GCA_015343595.1_1031|1-2014
CARD_AMR_Genes	0	GCA_015343595.1_1031|1-2014
