GCA_000006745.1_00927	408	hypothetical protein	RbmB	RbmB
GCA_000009745.1_04430	743	Pectate disaccharide-lyase	non-RbmB	Pectatelyase
GCA_000024825.1_03944	742	Pectate disaccharide-lyase	non-RbmB	Pectatelyase
GCA_000152445.1_01114	408	hypothetical protein	RbmB	RbmB
GCA_000152465.2_01589	408	hypothetical protein	RbmB	RbmB
GCA_000152765.1_02114	888	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000153005.1_02259	538	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000153785.3_02530	408	hypothetical protein	RbmB	RbmB
GCA_000153985.3_02029	408	hypothetical protein	RbmB	RbmB
GCA_000154005.2_01224	408	hypothetical protein	RbmB	RbmB
GCA_000154025.1_03660	905	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000168895.2_01859	408	hypothetical protein	RbmB	RbmB
GCA_000168935.3_00022	397	hypothetical protein	RbmB	RbmB
GCA_000169995.1_00769	538	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000174115.1_01793	408	hypothetical protein	RbmB	RbmB
GCA_000174235.1_03232	408	hypothetical protein	RbmB	RbmB
GCA_000174255.1_00123	397	hypothetical protein	RbmB	RbmB
GCA_000174295.1_02769	374	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000174295.1_02851	408	hypothetical protein	RbmB	RbmB
GCA_000175975.1_00892	547	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000175975.1_02288	393	hypothetical protein	RbmB	RbmB
GCA_000175975.1_02863	507	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000175995.1_01868	287	hypothetical protein	RbmB	RbmB
GCA_000175995.1_03075	547	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000175995.1_03745	507	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176135.1_02497	410	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176135.1_02547	404	hypothetical protein	RbmB	RbmB
GCA_000176155.1_00633	854	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176155.1_00635	742	Pectate disaccharide-lyase	non-RbmB	Pectatelyase
GCA_000176175.1_01981	745	Pectate disaccharide-lyase	non-RbmB	Pectatelyase
GCA_000176175.1_01983	850	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176175.1_02276	292	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176215.1_01130	390	hypothetical protein	RbmB	RbmB
GCA_000176235.1_01580	454	putative ABC transporter binding protein NosD	non-RbmB	NosD
GCA_000176375.1_00110	507	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176375.1_00811	374	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176375.1_02175	547	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176375.1_03030	393	hypothetical protein	RbmB	RbmB
GCA_000176415.1_00172	381	hypothetical protein	RbmB	RbmB
GCA_000176415.1_01050	543	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176455.1_00698	830	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176455.1_01743	408	hypothetical protein	RbmB	RbmB
GCA_000176715.1_01753	834	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000176715.1_02880	401	hypothetical protein	RbmB	RbmB
GCA_000181535.1_03875	541	hypothetical protein	non-RbmB	Unknown_nonRbmB
GCA_000182345.1_00525	742	Pectate disaccharide-lyase	non-RbmB	Pectatelyase
