GCA_000006745.1_00927	408	RbmB
GCA_000009745.1_04430	743	Pectatelyase
GCA_000024825.1_03944	742	Pectatelyase
GCA_000152445.1_01114	408	RbmB
GCA_000152445.1_02247	834	Unknown_nonRbmB
GCA_000152465.2_01589	408	RbmB
GCA_000152765.1_02114	888	Unknown_nonRbmB
GCA_000152765.1_02787	409	Unknown_nonRbmB
GCA_000153005.1_02259	538	Unknown_nonRbmB
GCA_000153785.3_02530	408	RbmB
GCA_000153985.3_02029	408	RbmB
GCA_000154005.2_01224	408	RbmB
GCA_000154025.1_03660	905	Unknown_nonRbmB
GCA_000168895.2_01859	408	RbmB
GCA_000168935.3_00022	397	RbmB
GCA_000168935.3_01856	834	Unknown_nonRbmB
GCA_000169995.1_00769	538	Unknown_nonRbmB
GCA_000174115.1_01793	408	RbmB
GCA_000174115.1_02643	834	Unknown_nonRbmB
GCA_000174235.1_00700	839	Unknown_nonRbmB
GCA_000174235.1_03232	408	RbmB
GCA_000174255.1_00123	397	RbmB
GCA_000174295.1_02769	374	Unknown_nonRbmB
GCA_000174295.1_02851	408	RbmB
GCA_000175975.1_00892	547	Unknown_nonRbmB
GCA_000175975.1_02288	393	RbmB
GCA_000175975.1_02863	507	Unknown_nonRbmB
GCA_000175995.1_01868	287	RbmB
GCA_000175995.1_03075	547	Unknown_nonRbmB
GCA_000175995.1_03745	507	Unknown_nonRbmB
GCA_000176135.1_02497	410	Unknown_nonRbmB
GCA_000176135.1_02547	404	RbmB
GCA_000176155.1_00633	854	Unknown_nonRbmB
GCA_000176155.1_00635	742	Pectatelyase
GCA_000176175.1_01981	745	Pectatelyase
GCA_000176175.1_01983	850	Unknown_nonRbmB
GCA_000176175.1_02276	292	Unknown_nonRbmB
GCA_000176215.1_00468	834	Unknown_nonRbmB
GCA_000176215.1_01130	390	RbmB
GCA_000176235.1_01580	454	NosD
GCA_000176375.1_00110	507	Unknown_nonRbmB
GCA_000176375.1_00811	374	Unknown_nonRbmB
GCA_000176375.1_02175	547	Unknown_nonRbmB
GCA_000176375.1_03030	393	RbmB
GCA_000176415.1_00172	381	RbmB
GCA_000176415.1_01050	543	Unknown_nonRbmB
GCA_000176455.1_00698	830	Unknown_nonRbmB
GCA_000176455.1_01743	408	RbmB
GCA_000176715.1_01753	834	Unknown_nonRbmB
GCA_000176715.1_02880	401	RbmB
GCA_000181535.1_03875	541	Unknown_nonRbmB
GCA_000182345.1_00525	742	Pectatelyase
GCA_000182365.1_01353	742	Pectatelyase
GCA_000182685.1_01521	905	Unknown_nonRbmB
GCA_000182685.1_03824	538	Unknown_nonRbmB
GCA_000184325.1_04346	745	Pectatelyase
GCA_000184325.1_04348	850	Unknown_nonRbmB
GCA_000186585.1_04301	743	Pectatelyase
GCA_000189275.2_02777	537	Unknown_nonRbmB
GCA_000195065.1_00885	279	RbmB
GCA_000195225.2_00982	905	Unknown_nonRbmB
GCA_000195415.2_00728	742	Pectatelyase
GCA_000195415.2_02343	309	Unknown_nonRbmB
GCA_000195475.2_02708	404	RbmB
GCA_000195475.2_03447	410	Unknown_nonRbmB
GCA_000220765.2_00550	293	RbmB
GCA_000220785.2_01759	293	RbmB
GCA_000220785.2_02864	850	Unknown_nonRbmB
GCA_000220785.2_02866	745	Pectatelyase
GCA_000221405.1_01405	408	RbmB
GCA_000221445.1_01042	408	RbmB
GCA_000221465.1_01002	522	Unknown_nonRbmB
GCA_000222145.1_01217	393	RbmB
GCA_000222585.2_02944	368	Unknown_nonRbmB
GCA_000222665.2_01291	457	NosD
GCA_000222685.2_02187	404	Unknown_nonRbmB
GCA_000222685.2_02416	917	Unknown_nonRbmB
GCA_000222685.2_04360	483	Unknown_nonRbmB
GCA_000237745.2_01511	372	Unknown_nonRbmB
GCA_000237745.2_01764	407	RbmB
GCA_000241385.1_04359	297	Unknown_nonRbmB
GCA_000247005.2_01148	409	Unknown_nonRbmB
GCA_000247005.2_01161	538	Unknown_nonRbmB
GCA_000256095.2_04321	538	Unknown_nonRbmB
GCA_000256185.2_00192	538	Unknown_nonRbmB
GCA_000256205.2_03228	538	Unknown_nonRbmB
GCA_000256265.2_01399	538	Unknown_nonRbmB
GCA_000256265.2_04488	314	Unknown_nonRbmB
GCA_000256285.2_01682	865	Unknown_nonRbmB
GCA_000256285.2_02483	865	Unknown_nonRbmB
GCA_000256305.2_03669	865	Unknown_nonRbmB
GCA_000256325.2_01012	538	Unknown_nonRbmB
GCA_000256325.2_02596	865	Unknown_nonRbmB
GCA_000256345.2_01059	865	Unknown_nonRbmB
GCA_000256425.1_02735	755	Unknown_nonRbmB
GCA_000259935.1_01544	905	Unknown_nonRbmB
GCA_000259935.1_03127	581	Unknown_nonRbmB
