Description	Count	contig
CDS	10	GCA_015343595.1_1131|2-5613
connector	0	GCA_015343595.1_1131|2-5613
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_1131|2-5613
head and packaging	0	GCA_015343595.1_1131|2-5613
integration and excision	0	GCA_015343595.1_1131|2-5613
lysis	0	GCA_015343595.1_1131|2-5613
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1131|2-5613
other	0	GCA_015343595.1_1131|2-5613
tail	5	GCA_015343595.1_1131|2-5613
transcription regulation	0	GCA_015343595.1_1131|2-5613
unknown function	4	GCA_015343595.1_1131|2-5613
tRNAs	0	GCA_015343595.1_1131|2-5613
CRISPRs	0	GCA_015343595.1_1131|2-5613
tmRNAs	0	GCA_015343595.1_1131|2-5613
VFDB_Virulence_Factors	0	GCA_015343595.1_1131|2-5613
CARD_AMR_Genes	0	GCA_015343595.1_1131|2-5613
