Description	Count	contig
CDS	4	GCA_015343595.1_142|77-1027
connector	0	GCA_015343595.1_142|77-1027
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_142|77-1027
head and packaging	0	GCA_015343595.1_142|77-1027
integration and excision	0	GCA_015343595.1_142|77-1027
lysis	0	GCA_015343595.1_142|77-1027
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_142|77-1027
other	0	GCA_015343595.1_142|77-1027
tail	0	GCA_015343595.1_142|77-1027
transcription regulation	0	GCA_015343595.1_142|77-1027
unknown function	4	GCA_015343595.1_142|77-1027
tRNAs	0	GCA_015343595.1_142|77-1027
CRISPRs	0	GCA_015343595.1_142|77-1027
tmRNAs	0	GCA_015343595.1_142|77-1027
VFDB_Virulence_Factors	0	GCA_015343595.1_142|77-1027
CARD_AMR_Genes	0	GCA_015343595.1_142|77-1027
