Description	Count	contig
CDS	4	GCA_015343595.1_910|87-1423
connector	0	GCA_015343595.1_910|87-1423
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_910|87-1423
head and packaging	0	GCA_015343595.1_910|87-1423
integration and excision	0	GCA_015343595.1_910|87-1423
lysis	0	GCA_015343595.1_910|87-1423
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_910|87-1423
other	0	GCA_015343595.1_910|87-1423
tail	0	GCA_015343595.1_910|87-1423
transcription regulation	0	GCA_015343595.1_910|87-1423
unknown function	4	GCA_015343595.1_910|87-1423
tRNAs	0	GCA_015343595.1_910|87-1423
CRISPRs	0	GCA_015343595.1_910|87-1423
tmRNAs	0	GCA_015343595.1_910|87-1423
VFDB_Virulence_Factors	0	GCA_015343595.1_910|87-1423
CARD_AMR_Genes	0	GCA_015343595.1_910|87-1423
