Description	Count	contig
CDS	5	GCA_015343595.1_31|2-1502
connector	0	GCA_015343595.1_31|2-1502
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_31|2-1502
head and packaging	0	GCA_015343595.1_31|2-1502
integration and excision	0	GCA_015343595.1_31|2-1502
lysis	0	GCA_015343595.1_31|2-1502
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_31|2-1502
other	0	GCA_015343595.1_31|2-1502
tail	0	GCA_015343595.1_31|2-1502
transcription regulation	0	GCA_015343595.1_31|2-1502
unknown function	5	GCA_015343595.1_31|2-1502
tRNAs	0	GCA_015343595.1_31|2-1502
CRISPRs	0	GCA_015343595.1_31|2-1502
tmRNAs	0	GCA_015343595.1_31|2-1502
VFDB_Virulence_Factors	0	GCA_015343595.1_31|2-1502
CARD_AMR_Genes	0	GCA_015343595.1_31|2-1502
