GCA_000009745.1_2	932010	1007732
GCA_000009745.1_1	2166661	2182228
GCA_000024825.1_2	151950	165133
GCA_000024825.1_1	2030764	2053570
GCA_000152445.1_22	543016	617581
GCA_000152465.2_52	2	1136
GCA_000152465.2_34	401	2617
GCA_000152465.2_28	2	4987
GCA_000152465.2_3	329241	424594
GCA_000152465.2_2	362788	486928
GCA_000152765.1_14	207087	297192
GCA_000152765.1_13	117846	199400
GCA_000153005.1_10	477182	492289
GCA_000153785.3_2	960781	1056159
GCA_000153785.3_2	73213	104313
GCA_000153785.3_1	340069	433596
GCA_000153785.3_1	1142777	1181921
GCA_000153985.3_19	187	3650
GCA_000153985.3_2	697620	735608
GCA_000154005.2_18	8	1849
GCA_000154005.2_1	766468	780270
GCA_000154025.1_42	2	2517
GCA_000154025.1_204	413	43345
GCA_000154025.1_201	1	914
GCA_000154025.1_2	3	6580
GCA_000154025.1_92	2	20330
GCA_000154025.1_135	18417	37145
GCA_000168895.2_5	270992	296209
GCA_000168895.2_4	286748	323896
GCA_000168895.2_2	515555	585808
GCA_000168895.2_1	565264	685788
GCA_000168895.2_1	955655	990101
GCA_000168935.3_29	108	1167
GCA_000168935.3_2	609838	686526
GCA_000168935.3_1	593068	617017
GCA_000169995.1_12	161	1422
GCA_000174115.1_4	933616	1070350
GCA_000174115.1_4	690852	779483
GCA_000174115.1_4	5663	29633
GCA_000174235.1_1	3	4356
GCA_000174235.1_4	679590	760459
GCA_000174235.1_4	1079938	1094054
GCA_000174255.1_5	2	2613
GCA_000174255.1_33	2	2774
GCA_000174255.1_21	86742	99671
GCA_000174255.1_11	144396	225173
GCA_000174255.1_10	433482	558343
GCA_000174295.1_8	233251	254856
GCA_000174295.1_5	813622	855584
GCA_000175975.1_88	81	7779
GCA_000175975.1_179	6899	126502
GCA_000175975.1_133	1	3912
GCA_000175995.1_72	259781	306175
GCA_000176135.1_7	287409	316854
GCA_000176175.1_2	12660	26684
GCA_000176175.1_12	1064144	1094571
GCA_000176175.1_11	72361	138651
GCA_000176215.1_3	368381	428089
GCA_000176215.1_16	87742	100052
GCA_000176215.1_13	164	19010
GCA_000176235.1_2	923514	1012848
GCA_000176375.1_1	1	37927
GCA_000176375.1_3	1352780	1373886
GCA_000176415.1_4	215797	234680
GCA_000176455.1_24	1	38265
GCA_000176455.1_228	1	2868
GCA_000176455.1_220	1	2325
GCA_000176455.1_205	2	3238
GCA_000176715.1_9	60706	133991
GCA_000176715.1_9	239228	252710
GCA_000176715.1_7	250565	318354
GCA_000181535.1_30	1	1672
