seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_016464285.1_81	1	8	47	5751	0.987	0.987	1	8	47	5751	NA	NA	0	1	8	47	5751	0.987	0.0	12.5	0.0	62.5	12.5	12.5	5	dsDNAphage	linear	GCA_016464285.1_81||full	0.987	dsDNAphage
GCA_016464285.1_60	1	7	3	3381	1.0	1.0	1	7	3	3381	NA	NA	0	1	7	3	3381	1.0	0.0	28.6	0.0	42.9	0.0	28.6	2	dsDNAphage	linear	GCA_016464285.1_60||full	1.0	dsDNAphage
GCA_016464285.1_52	1	11	1	10198	0.913	0.913	1	11	1	10198	NA	NA	0	1	11	1	10198	0.913	0.0	9.1	0.0	45.5	0.0	45.5	4	dsDNAphage	linear	GCA_016464285.1_52||full	0.913	dsDNAphage
GCA_016464285.1_45	1	12	1	9416	0.907	0.907	1	12	1	9416	NA	NA	0	1	12	1	9416	0.907	0.0	8.3	0.0	41.7	0.0	50.0	4	dsDNAphage	linear	GCA_016464285.1_45||full	0.907	dsDNAphage
GCA_016464285.1_42	1	5	1	2945	0.993	0.993	1	5	1	2945	NA	NA	0	1	5	1	2945	0.993	0.0	0.0	0.0	60.0	0.0	40.0	2	dsDNAphage	linear	GCA_016464285.1_42||full	0.993	dsDNAphage
GCA_016464285.1_1	1	5	3	3370	1.0	1.0	1	5	3	3370	NA	NA	0	1	5	3	3370	1.0	0.0	20.0	0.0	60.0	0.0	20.0	2	dsDNAphage	linear	GCA_016464285.1_1||full	1.0	dsDNAphage
GCA_016464285.1_93	21	34	20170	31452	0.913	0.913	21	34	20170	31452	0.913	0.913	1	1	34	2	31452	0.66	0.0	21.4	0.0	42.9	0.0	35.7	2	dsDNAphage	linear	GCA_016464285.1_93||0_partial	0.913	dsDNAphage
GCA_016464285.1_73	35	65	44520	67596	0.907	0.933	35	65	44520	67596	0.907	1.0	1	1	235	1	253288	0.293	0.0	37.2	2.3	23.3	11.6	25.6	1	dsDNAphage	linear	GCA_016464285.1_73||0_partial	0.907	dsDNAphage
GCA_016464285.1_71	421	500	455742	523898	0.913	0.953	421	500	455742	523898	0.913	1.0	1	1	637	1	658079	0.433	0.0	26.1	0.0	25.0	19.6	29.3	10	dsDNAphage	linear	GCA_016464285.1_71||0_partial	0.913	dsDNAphage
GCA_016464285.1_56	1	23	1	21297	0.893	0.907	1	23	1	21297	0.893	0.947	1	1	71	1	75116	0.453	0.0	34.3	2.9	22.9	20.0	20.0	2	dsDNAphage	linear	GCA_016464285.1_56||0_partial	0.893	dsDNAphage
GCA_016464285.1_15	1	83	1	82704	0.9	0.913	1	83	1	82704	0.9	1.0	1	1	754	1	839306	0.36	0.0	30.5	0.0	27.4	26.3	15.8	8	dsDNAphage	linear	GCA_016464285.1_15||0_partial	0.9	dsDNAphage
GCA_016464285.1_113	44	58	43409	55874	0.993	0.993	44	58	43409	55874	0.993	0.993	1	1	58	1	55874	0.693	0.0	6.7	0.0	53.3	6.7	33.3	5	dsDNAphage	linear	GCA_016464285.1_113||0_partial	0.993	dsDNAphage
