Description	Count	contig
CDS	52	GCA_015343595.1_818|165-35597
connector	3	GCA_015343595.1_818|165-35597
DNA, RNA and nucleotide metabolism	4	GCA_015343595.1_818|165-35597
head and packaging	3	GCA_015343595.1_818|165-35597
integration and excision	0	GCA_015343595.1_818|165-35597
lysis	1	GCA_015343595.1_818|165-35597
moron, auxiliary metabolic gene and host takeover	1	GCA_015343595.1_818|165-35597
other	0	GCA_015343595.1_818|165-35597
tail	10	GCA_015343595.1_818|165-35597
transcription regulation	2	GCA_015343595.1_818|165-35597
unknown function	28	GCA_015343595.1_818|165-35597
tRNAs	0	GCA_015343595.1_818|165-35597
CRISPRs	0	GCA_015343595.1_818|165-35597
tmRNAs	0	GCA_015343595.1_818|165-35597
VFDB_Virulence_Factors	0	GCA_015343595.1_818|165-35597
CARD_AMR_Genes	0	GCA_015343595.1_818|165-35597
