Description	Count	contig
CDS	68	GCA_013114135.1_14|18607-61852
connector	3	GCA_013114135.1_14|18607-61852
DNA, RNA and nucleotide metabolism	3	GCA_013114135.1_14|18607-61852
head and packaging	5	GCA_013114135.1_14|18607-61852
integration and excision	3	GCA_013114135.1_14|18607-61852
lysis	1	GCA_013114135.1_14|18607-61852
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_14|18607-61852
other	1	GCA_013114135.1_14|18607-61852
tail	8	GCA_013114135.1_14|18607-61852
transcription regulation	3	GCA_013114135.1_14|18607-61852
unknown function	41	GCA_013114135.1_14|18607-61852
tRNAs	0	GCA_013114135.1_14|18607-61852
CRISPRs	0	GCA_013114135.1_14|18607-61852
tmRNAs	0	GCA_013114135.1_14|18607-61852
VFDB_Virulence_Factors	0	GCA_013114135.1_14|18607-61852
CARD_AMR_Genes	0	GCA_013114135.1_14|18607-61852
