Description	Count	contig
CDS	2	GCA_015343595.1_1331|15-1813
connector	0	GCA_015343595.1_1331|15-1813
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1331|15-1813
head and packaging	2	GCA_015343595.1_1331|15-1813
integration and excision	0	GCA_015343595.1_1331|15-1813
lysis	0	GCA_015343595.1_1331|15-1813
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1331|15-1813
other	0	GCA_015343595.1_1331|15-1813
tail	0	GCA_015343595.1_1331|15-1813
transcription regulation	0	GCA_015343595.1_1331|15-1813
unknown function	0	GCA_015343595.1_1331|15-1813
tRNAs	0	GCA_015343595.1_1331|15-1813
CRISPRs	0	GCA_015343595.1_1331|15-1813
tmRNAs	0	GCA_015343595.1_1331|15-1813
VFDB_Virulence_Factors	0	GCA_015343595.1_1331|15-1813
CARD_AMR_Genes	0	GCA_015343595.1_1331|15-1813
