Description	Count	contig
CDS	5	GCA_015343595.1_651|1-2051
connector	0	GCA_015343595.1_651|1-2051
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_651|1-2051
head and packaging	0	GCA_015343595.1_651|1-2051
integration and excision	0	GCA_015343595.1_651|1-2051
lysis	0	GCA_015343595.1_651|1-2051
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_651|1-2051
other	0	GCA_015343595.1_651|1-2051
tail	0	GCA_015343595.1_651|1-2051
transcription regulation	0	GCA_015343595.1_651|1-2051
unknown function	5	GCA_015343595.1_651|1-2051
tRNAs	0	GCA_015343595.1_651|1-2051
CRISPRs	0	GCA_015343595.1_651|1-2051
tmRNAs	0	GCA_015343595.1_651|1-2051
VFDB_Virulence_Factors	0	GCA_015343595.1_651|1-2051
CARD_AMR_Genes	0	GCA_015343595.1_651|1-2051
