Description	Count	contig
CDS	5	GCA_015343595.1_908|35-1598
connector	0	GCA_015343595.1_908|35-1598
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_908|35-1598
head and packaging	1	GCA_015343595.1_908|35-1598
integration and excision	0	GCA_015343595.1_908|35-1598
lysis	0	GCA_015343595.1_908|35-1598
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_908|35-1598
other	0	GCA_015343595.1_908|35-1598
tail	0	GCA_015343595.1_908|35-1598
transcription regulation	0	GCA_015343595.1_908|35-1598
unknown function	3	GCA_015343595.1_908|35-1598
tRNAs	0	GCA_015343595.1_908|35-1598
CRISPRs	0	GCA_015343595.1_908|35-1598
tmRNAs	0	GCA_015343595.1_908|35-1598
VFDB_Virulence_Factors	0	GCA_015343595.1_908|35-1598
CARD_AMR_Genes	0	GCA_015343595.1_908|35-1598
