Description	Count	contig
CDS	9	GCA_015343595.1_1001|329-6551
connector	0	GCA_015343595.1_1001|329-6551
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_1001|329-6551
head and packaging	0	GCA_015343595.1_1001|329-6551
integration and excision	0	GCA_015343595.1_1001|329-6551
lysis	0	GCA_015343595.1_1001|329-6551
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1001|329-6551
other	1	GCA_015343595.1_1001|329-6551
tail	0	GCA_015343595.1_1001|329-6551
transcription regulation	0	GCA_015343595.1_1001|329-6551
unknown function	6	GCA_015343595.1_1001|329-6551
tRNAs	0	GCA_015343595.1_1001|329-6551
CRISPRs	0	GCA_015343595.1_1001|329-6551
tmRNAs	0	GCA_015343595.1_1001|329-6551
VFDB_Virulence_Factors	0	GCA_015343595.1_1001|329-6551
CARD_AMR_Genes	0	GCA_015343595.1_1001|329-6551
