Description	Count	contig
CDS	3	GCA_015343595.1_1248|3-1629
connector	0	GCA_015343595.1_1248|3-1629
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1248|3-1629
head and packaging	0	GCA_015343595.1_1248|3-1629
integration and excision	1	GCA_015343595.1_1248|3-1629
lysis	0	GCA_015343595.1_1248|3-1629
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1248|3-1629
other	0	GCA_015343595.1_1248|3-1629
tail	0	GCA_015343595.1_1248|3-1629
transcription regulation	0	GCA_015343595.1_1248|3-1629
unknown function	2	GCA_015343595.1_1248|3-1629
tRNAs	0	GCA_015343595.1_1248|3-1629
CRISPRs	0	GCA_015343595.1_1248|3-1629
tmRNAs	0	GCA_015343595.1_1248|3-1629
VFDB_Virulence_Factors	0	GCA_015343595.1_1248|3-1629
CARD_AMR_Genes	0	GCA_015343595.1_1248|3-1629
