Description	Count	contig
CDS	4	GCA_015343595.1_1453|6-1416
connector	2	GCA_015343595.1_1453|6-1416
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1453|6-1416
head and packaging	0	GCA_015343595.1_1453|6-1416
integration and excision	0	GCA_015343595.1_1453|6-1416
lysis	0	GCA_015343595.1_1453|6-1416
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1453|6-1416
other	0	GCA_015343595.1_1453|6-1416
tail	0	GCA_015343595.1_1453|6-1416
transcription regulation	0	GCA_015343595.1_1453|6-1416
unknown function	2	GCA_015343595.1_1453|6-1416
tRNAs	0	GCA_015343595.1_1453|6-1416
CRISPRs	0	GCA_015343595.1_1453|6-1416
tmRNAs	0	GCA_015343595.1_1453|6-1416
VFDB_Virulence_Factors	0	GCA_015343595.1_1453|6-1416
CARD_AMR_Genes	0	GCA_015343595.1_1453|6-1416
