gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
AAWYSANS_CDS_0001	38	196	+	GCA_000338875.1_34_202-75385	-24.078885254840458	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	AAWYSANS_CDS_0001
AAWYSANS_CDS_0002	226	363	+	GCA_000338875.1_34_202-75385	-1.069448638157123	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	AAWYSANS_CDS_0002
AAWYSANS_CDS_0003	367	483	+	GCA_000338875.1_34_202-75385	-0.2220317051421562	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	AAWYSANS_CDS_0003
AAWYSANS_CDS_0004	537	752	+	GCA_000338875.1_34_202-75385	-1470.342668105394	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	AAWYSANS_CDS_0004
AAWYSANS_CDS_0005	749	841	+	GCA_000338875.1_34_202-75385	-0.0682880111866817	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	AAWYSANS_CDS_0005
AAWYSANS_CDS_0006	886	2250	+	GCA_000338875.1_34_202-75385	-70135.21003147893	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	AAWYSANS_CDS_0006
AAWYSANS_CDS_0007	2344	2472	+	GCA_000338875.1_34_202-75385	-0.1243168198989199	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	AAWYSANS_CDS_0007
AAWYSANS_CDS_0008	2518	3666	+	GCA_000338875.1_34_202-75385	-89020.29888601242	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	AAWYSANS_CDS_0008
AAWYSANS_CDS_0009	3680	3931	+	GCA_000338875.1_34_202-75385	-21.46225357966573	24564	77.0	0.802	1.47e-18	p435596 VI_11787	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	AAWYSANS_CDS_0009
AAWYSANS_CDS_0010	4092	4499	+	GCA_000338875.1_34_202-75385	-387.1572418586737	811	163.0	0.626	4.935e-49	p6911 VI_09232	PHANOTATE	CDS	#ffdf59	UmuD-like protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	AAWYSANS_CDS_0010
AAWYSANS_CDS_0011	4499	5755	+	GCA_000338875.1_34_202-75385	-5684017.99638308	1268	516.0	0.627	1.504e-166	p9287 VI_06867	PHANOTATE	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	AAWYSANS_CDS_0011
