Description	Count	contig
CDS	6	GCA_015343595.1_732|40-2353
connector	0	GCA_015343595.1_732|40-2353
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_732|40-2353
head and packaging	2	GCA_015343595.1_732|40-2353
integration and excision	0	GCA_015343595.1_732|40-2353
lysis	0	GCA_015343595.1_732|40-2353
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_732|40-2353
other	0	GCA_015343595.1_732|40-2353
tail	0	GCA_015343595.1_732|40-2353
transcription regulation	0	GCA_015343595.1_732|40-2353
unknown function	4	GCA_015343595.1_732|40-2353
tRNAs	0	GCA_015343595.1_732|40-2353
CRISPRs	0	GCA_015343595.1_732|40-2353
tmRNAs	0	GCA_015343595.1_732|40-2353
VFDB_Virulence_Factors	0	GCA_015343595.1_732|40-2353
CARD_AMR_Genes	0	GCA_015343595.1_732|40-2353
