Description	Count	contig
CDS	3	GCA_015343595.1_1261|24-1201
connector	0	GCA_015343595.1_1261|24-1201
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1261|24-1201
head and packaging	0	GCA_015343595.1_1261|24-1201
integration and excision	0	GCA_015343595.1_1261|24-1201
lysis	0	GCA_015343595.1_1261|24-1201
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1261|24-1201
other	0	GCA_015343595.1_1261|24-1201
tail	0	GCA_015343595.1_1261|24-1201
transcription regulation	0	GCA_015343595.1_1261|24-1201
unknown function	3	GCA_015343595.1_1261|24-1201
tRNAs	0	GCA_015343595.1_1261|24-1201
CRISPRs	0	GCA_015343595.1_1261|24-1201
tmRNAs	0	GCA_015343595.1_1261|24-1201
VFDB_Virulence_Factors	0	GCA_015343595.1_1261|24-1201
CARD_AMR_Genes	0	GCA_015343595.1_1261|24-1201
