Description	Count	contig
CDS	2	GCA_015343595.1_988|491-3199
connector	0	GCA_015343595.1_988|491-3199
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_988|491-3199
head and packaging	0	GCA_015343595.1_988|491-3199
integration and excision	0	GCA_015343595.1_988|491-3199
lysis	0	GCA_015343595.1_988|491-3199
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_988|491-3199
other	0	GCA_015343595.1_988|491-3199
tail	0	GCA_015343595.1_988|491-3199
transcription regulation	0	GCA_015343595.1_988|491-3199
unknown function	1	GCA_015343595.1_988|491-3199
tRNAs	0	GCA_015343595.1_988|491-3199
CRISPRs	0	GCA_015343595.1_988|491-3199
tmRNAs	0	GCA_015343595.1_988|491-3199
VFDB_Virulence_Factors	0	GCA_015343595.1_988|491-3199
CARD_AMR_Genes	0	GCA_015343595.1_988|491-3199
