gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
PFWALENV_CDS_0001	501	1	-	GCA_008083955.1_7_16201-70846	-3186.006734470792	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	PFWALENV_CDS_0001
PFWALENV_CDS_0002	751	620	-	GCA_008083955.1_7_16201-70846	-4.8017946949497885	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	PFWALENV_CDS_0002
PFWALENV_CDS_0003	1248	751	-	GCA_008083955.1_7_16201-70846	-1028.974383605967	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	PFWALENV_CDS_0003
PFWALENV_CDS_0004	1998	1249	-	GCA_008083955.1_7_16201-70846	-9674.946627762474	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	PFWALENV_CDS_0004
PFWALENV_CDS_0005	4074	2002	-	GCA_008083955.1_7_16201-70846	-49702218991.9145	34729	129.0	0.237	5.302e-33	p144810 VI_12069	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	VFG007142(gb|WP_000212125) (vgrG-2) type VI secretion system substrate VgrG-2 [VAS T6SS (VF0335) - Effector delivery system (VFC0086)] [Vibrio cholerae O1 biovar El Tor str. N16961]	1212.0	0.861	0.0	Vibrio cholerae O1 biovar El Tor str. N16961	vgrG-2	type VI secretion system substrate VgrG-2	None	None	None	None	None	None	None	None	None	None	None	None	0005	PFWALENV_CDS_0005
PFWALENV_CDS_0006	4760	3996	-	GCA_008083955.1_7_16201-70846	-4.77308823040205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	VFG007139(gb|WP_001142930) (hcp-2) type VI secretion system substrate Hcp-2 [VAS T6SS secreted effectors (VF0634) - Effector delivery system (VFC0086)] [Vibrio cholerae O395]	254.0	0.979	1.5539999999999999e-80	Vibrio cholerae O395	hcp-2	type VI secretion system substrate Hcp-2	None	None	None	None	None	None	None	None	None	None	None	None	0006	PFWALENV_CDS_0006
PFWALENV_CDS_0007	4842	4964	+	GCA_008083955.1_7_16201-70846	-0.3621212544284124	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	PFWALENV_CDS_0007
PFWALENV_CDS_0008	5087	5227	+	GCA_008083955.1_7_16201-70846	-0.2708163357943681	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	PFWALENV_CDS_0008
PFWALENV_CDS_0009	5309	5446	+	GCA_008083955.1_7_16201-70846	-10.238733956921632	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	PFWALENV_CDS_0009
PFWALENV_CDS_0010	5458	5550	+	GCA_008083955.1_7_16201-70846	-0.1455985777781496	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	PFWALENV_CDS_0010
