seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_000316985.1_58	1	3	2	1164	0.987	0.987	1	3	2	1164	NA	NA	0	1	3	2	1164	0.987	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_000316985.1_58||full	0.987	ssDNA
GCA_000316985.1_374	1	2	215	1430	0.987	0.987	1	2	215	1430	NA	NA	0	1	2	215	1430	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_000316985.1_374||full	0.987	ssDNA
GCA_000316985.1_356	1	7	1	5693	0.973	0.973	1	7	1	5693	NA	NA	0	1	7	1	5693	0.973	0.0	0.0	0.0	42.9	0.0	57.1	3	dsDNAphage	linear	GCA_000316985.1_356||full	0.973	dsDNAphage
GCA_000316985.1_304	1	13	3	5763	0.707	0.707	1	13	3	5763	NA	NA	0	1	13	3	5763	0.707	0.0	7.7	0.0	23.1	7.7	61.5	0	dsDNAphage	linear	GCA_000316985.1_304||full	0.707	dsDNAphage
GCA_000316985.1_300	1	4	2	1571	0.827	0.827	1	4	2	1571	NA	NA	0	1	4	2	1571	0.827	0.0	25.0	0.0	50.0	0.0	25.0	0	dsDNAphage	linear	GCA_000316985.1_300||full	0.827	dsDNAphage
GCA_000316985.1_3	1	9	1	6786	0.98	0.98	1	9	1	6786	NA	NA	0	1	9	1	6786	0.98	0.0	0.0	0.0	22.2	0.0	77.8	2	dsDNAphage	linear	GCA_000316985.1_3||full	0.98	dsDNAphage
GCA_000316985.1_273	1	4	3	3123	0.947	0.947	1	4	3	3123	NA	NA	0	1	4	3	3123	0.947	0.0	25.0	0.0	75.0	0.0	0.0	2	dsDNAphage	linear	GCA_000316985.1_273||full	0.947	dsDNAphage
GCA_000316985.1_272	1	4	2	3123	0.953	0.953	1	4	2	3123	NA	NA	0	1	4	2	3123	0.953	0.0	25.0	0.0	75.0	0.0	0.0	2	dsDNAphage	linear	GCA_000316985.1_272||full	0.953	dsDNAphage
GCA_000316985.1_210	1	5	2	1634	0.947	0.947	1	5	2	1634	NA	NA	0	1	5	2	1634	0.947	0.0	20.0	0.0	60.0	0.0	20.0	0	dsDNAphage	linear	GCA_000316985.1_210||full	0.947	dsDNAphage
GCA_000316985.1_198	1	7	3	3221	0.987	0.987	1	7	3	3221	NA	NA	0	1	7	3	3221	0.987	0.0	0.0	0.0	42.9	0.0	57.1	0	ssDNA	linear	GCA_000316985.1_198||full	0.987	ssDNA
GCA_000316985.1_101	1	8	2	3617	0.9	0.9	1	8	2	3617	NA	NA	0	1	8	2	3617	0.9	0.0	0.0	0.0	62.5	0.0	37.5	0	dsDNAphage	linear	GCA_000316985.1_101||full	0.9	dsDNAphage
