Description	Count	contig
CDS	6	GCA_015343595.1_1220|1-1442
connector	0	GCA_015343595.1_1220|1-1442
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_1220|1-1442
head and packaging	0	GCA_015343595.1_1220|1-1442
integration and excision	0	GCA_015343595.1_1220|1-1442
lysis	0	GCA_015343595.1_1220|1-1442
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1220|1-1442
other	0	GCA_015343595.1_1220|1-1442
tail	0	GCA_015343595.1_1220|1-1442
transcription regulation	0	GCA_015343595.1_1220|1-1442
unknown function	5	GCA_015343595.1_1220|1-1442
tRNAs	0	GCA_015343595.1_1220|1-1442
CRISPRs	0	GCA_015343595.1_1220|1-1442
tmRNAs	0	GCA_015343595.1_1220|1-1442
VFDB_Virulence_Factors	0	GCA_015343595.1_1220|1-1442
CARD_AMR_Genes	0	GCA_015343595.1_1220|1-1442
