seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_006375455.1_999	1	5	1	3253	0.98	0.98	1	5	1	3253	NA	NA	0	1	5	1	3253	0.98	0.0	0.0	0.0	80.0	0.0	20.0	0	ssDNA	linear	GCA_006375455.1_999||full	0.98	ssDNA
GCA_006375455.1_880	1	3	1	4667	0.693	0.693	1	3	1	4667	NA	NA	0	1	3	1	4667	0.693	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	GCA_006375455.1_880||full	0.693	ssDNA
GCA_006375455.1_827	1	8	2	5228	0.573	0.573	1	8	2	5228	NA	NA	0	1	8	2	5228	0.573	0.0	12.5	0.0	37.5	25.0	25.0	0	dsDNAphage	linear	GCA_006375455.1_827||full	0.573	dsDNAphage
GCA_006375455.1_826	1	3	2	1004	0.993	0.993	1	3	2	1004	NA	NA	0	1	3	2	1004	0.993	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_006375455.1_826||full	0.993	ssDNA
GCA_006375455.1_72	1	3	3	4387	0.833	0.833	1	3	3	4387	NA	NA	0	1	3	3	4387	0.833	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	GCA_006375455.1_72||full	0.833	dsDNAphage
GCA_006375455.1_567	1	2	59	3898	0.827	0.827	1	2	59	3898	NA	NA	0	1	2	59	3898	0.827	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006375455.1_567||full	0.827	ssDNA
GCA_006375455.1_331	1	33	2	24183	1.0	1.0	1	33	2	24183	NA	NA	0	1	33	2	24183	1.0	0.0	15.2	0.0	60.6	0.0	24.2	14	dsDNAphage	linear	GCA_006375455.1_331||full	1.0	dsDNAphage
GCA_006375455.1_1272	1	2	1	1057	1.0	1.0	1	2	1	1057	NA	NA	0	1	2	1	1057	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006375455.1_1272||full	1.0	ssDNA
GCA_006375455.1_1198	1	2	1	663	0.933	0.933	1	2	1	663	NA	NA	0	1	2	1	663	0.933	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006375455.1_1198||full	0.933	ssDNA
GCA_006375455.1_1186	1	5	2	1685	0.987	0.987	1	5	2	1685	NA	NA	0	1	5	2	1685	0.987	0.0	0.0	0.0	60.0	0.0	40.0	0	ssDNA	linear	GCA_006375455.1_1186||full	0.987	ssDNA
GCA_006375455.1_1157	1	2	2	1641	0.513	0.513	1	2	2	1641	NA	NA	0	1	2	2	1641	0.513	0.0	0.0	0.0	50.0	50.0	0.0	0	dsDNAphage	linear	GCA_006375455.1_1157||full	0.513	dsDNAphage
GCA_006375455.1_1149	1	4	3	1951	0.853	0.853	1	4	3	1951	NA	NA	0	1	4	3	1951	0.853	0.0	0.0	0.0	25.0	25.0	50.0	0	dsDNAphage	linear	GCA_006375455.1_1149||full	0.853	dsDNAphage
GCA_006375455.1_1103	1	5	2	2158	1.0	1.0	1	5	2	2158	NA	NA	0	1	5	2	2158	1.0	0.0	0.0	0.0	60.0	0.0	40.0	0	ssDNA	linear	GCA_006375455.1_1103||full	1.0	ssDNA
GCA_006375455.1_1086	1	2	3	2450	0.773	0.773	1	2	3	2450	NA	NA	0	1	2	3	2450	0.773	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006375455.1_1086||full	0.773	ssDNA
GCA_006375455.1_1078	1	2	1	1774	0.94	0.94	1	2	1	1774	NA	NA	0	1	2	1	1774	0.94	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006375455.1_1078||full	0.94	ssDNA
