Description	Count	contig
CDS	7	GCA_015343595.1_799|3-2988
connector	0	GCA_015343595.1_799|3-2988
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_799|3-2988
head and packaging	0	GCA_015343595.1_799|3-2988
integration and excision	0	GCA_015343595.1_799|3-2988
lysis	0	GCA_015343595.1_799|3-2988
moron, auxiliary metabolic gene and host takeover	1	GCA_015343595.1_799|3-2988
other	0	GCA_015343595.1_799|3-2988
tail	0	GCA_015343595.1_799|3-2988
transcription regulation	1	GCA_015343595.1_799|3-2988
unknown function	3	GCA_015343595.1_799|3-2988
tRNAs	0	GCA_015343595.1_799|3-2988
CRISPRs	0	GCA_015343595.1_799|3-2988
tmRNAs	0	GCA_015343595.1_799|3-2988
VFDB_Virulence_Factors	0	GCA_015343595.1_799|3-2988
CARD_AMR_Genes	0	GCA_015343595.1_799|3-2988
