Description	Count	contig
CDS	3	GCA_015343595.1_1052|123-2187
connector	0	GCA_015343595.1_1052|123-2187
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1052|123-2187
head and packaging	0	GCA_015343595.1_1052|123-2187
integration and excision	1	GCA_015343595.1_1052|123-2187
lysis	0	GCA_015343595.1_1052|123-2187
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1052|123-2187
other	0	GCA_015343595.1_1052|123-2187
tail	0	GCA_015343595.1_1052|123-2187
transcription regulation	0	GCA_015343595.1_1052|123-2187
unknown function	2	GCA_015343595.1_1052|123-2187
tRNAs	0	GCA_015343595.1_1052|123-2187
CRISPRs	0	GCA_015343595.1_1052|123-2187
tmRNAs	0	GCA_015343595.1_1052|123-2187
VFDB_Virulence_Factors	0	GCA_015343595.1_1052|123-2187
CARD_AMR_Genes	0	GCA_015343595.1_1052|123-2187
