seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_001974575.1_79	1	2	202	1649	0.887	0.887	1	2	202	1649	NA	NA	0	1	2	202	1649	0.887	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_001974575.1_79||full	0.887	ssDNA
GCA_001974575.1_61	1	8	551	8189	0.773	0.773	1	8	551	8189	NA	NA	0	1	8	551	8189	0.773	0.0	12.5	0.0	25.0	12.5	50.0	1	dsDNAphage	linear	GCA_001974575.1_61||full	0.773	dsDNAphage
GCA_001974575.1_33	1	43	3	41426	0.68	0.707	1	43	3	41426	NA	NA	0	1	43	3	41426	0.68	0.0	33.3	5.6	38.9	5.6	16.7	3	dsDNAphage	linear	GCA_001974575.1_33||full	0.68	dsDNAphage
GCA_001974575.1_32	1	2	103	1816	0.967	0.967	1	2	103	1816	NA	NA	0	1	2	103	1816	0.967	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_001974575.1_32||full	0.967	ssDNA
GCA_001974575.1_256	1	5	2	10454	0.693	0.693	1	5	2	10454	NA	NA	0	1	5	2	10454	0.693	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	GCA_001974575.1_256||full	0.693	dsDNAphage
GCA_001974575.1_25	1	2	3	1045	0.953	0.953	1	2	3	1045	NA	NA	0	1	2	3	1045	0.953	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_001974575.1_25||full	0.953	ssDNA
GCA_001974575.1_194	1	5	141	3807	0.84	0.84	1	5	141	3807	NA	NA	0	1	5	141	3807	0.84	0.0	0.0	0.0	60.0	0.0	40.0	0	ssDNA	linear	GCA_001974575.1_194||full	0.84	ssDNA
GCA_001974575.1_180	1	74	47	68227	0.887	0.933	1	75	47	70277	NA	NA	0	1	75	47	70277	0.873	0.0	22.7	0.0	42.7	16.0	18.7	10	dsDNAphage	linear	GCA_001974575.1_180||full	0.887	dsDNAphage
GCA_001974575.1_15	1	3	1	1803	0.98	0.98	1	3	1	1803	NA	NA	0	1	3	1	1803	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_001974575.1_15||full	0.98	ssDNA
GCA_001974575.1_10	2	25	2144	19691	0.8	0.8	1	26	1	20685	NA	NA	0	1	26	1	20685	0.673	0.0	0.0	0.0	7.7	0.0	92.3	0	dsDNAphage	linear	GCA_001974575.1_10||full	0.8	dsDNAphage
