Description	Count	contig
CDS	7	GCA_015343595.1_1034|133-3293
connector	0	GCA_015343595.1_1034|133-3293
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1034|133-3293
head and packaging	0	GCA_015343595.1_1034|133-3293
integration and excision	0	GCA_015343595.1_1034|133-3293
lysis	0	GCA_015343595.1_1034|133-3293
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1034|133-3293
other	0	GCA_015343595.1_1034|133-3293
tail	0	GCA_015343595.1_1034|133-3293
transcription regulation	0	GCA_015343595.1_1034|133-3293
unknown function	7	GCA_015343595.1_1034|133-3293
tRNAs	0	GCA_015343595.1_1034|133-3293
CRISPRs	0	GCA_015343595.1_1034|133-3293
tmRNAs	0	GCA_015343595.1_1034|133-3293
VFDB_Virulence_Factors	0	GCA_015343595.1_1034|133-3293
CARD_AMR_Genes	0	GCA_015343595.1_1034|133-3293
