seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_011090175.1_9	1	15	289	8677	1.0	1.0	1	15	289	8677	NA	NA	0	1	15	289	8677	1.0	0.0	6.7	0.0	26.7	0.0	66.7	1	dsDNAphage	circular	GCA_011090175.1_9||full	1.0	dsDNAphage
GCA_011090175.1_86	1	3	2	1697	0.987	0.987	1	3	2	1697	NA	NA	0	1	3	2	1697	0.987	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_011090175.1_86||full	0.987	ssDNA
GCA_011090175.1_76	1	3	3	2105	0.867	0.867	1	3	3	2105	NA	NA	0	1	3	3	2105	0.867	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_011090175.1_76||full	0.867	ssDNA
GCA_011090175.1_62	1	2	171	2785	0.667	0.667	1	2	171	2785	NA	NA	0	1	2	171	2785	0.667	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_011090175.1_62||full	0.667	ssDNA
GCA_011090175.1_49	1	6	1	3716	0.6	0.6	1	6	1	3716	NA	NA	0	1	6	1	3716	0.6	0.0	16.7	0.0	33.3	0.0	50.0	0	dsDNAphage	linear	GCA_011090175.1_49||full	0.6	dsDNAphage
GCA_011090175.1_39	1	3	303	4619	0.953	0.953	1	3	303	4619	NA	NA	0	1	3	303	4619	0.953	0.0	0.0	0.0	66.7	0.0	33.3	1	dsDNAphage	linear	GCA_011090175.1_39||full	0.953	dsDNAphage
GCA_011090175.1_116	1	2	254	1041	0.907	0.907	1	2	254	1041	NA	NA	0	1	2	254	1041	0.907	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	GCA_011090175.1_116||full	0.907	dsDNAphage
GCA_011090175.1_103	1	2	193	1089	0.667	0.667	1	2	193	1089	NA	NA	0	1	2	193	1089	0.667	0.0	0.0	0.0	50.0	50.0	0.0	0	dsDNAphage	linear	GCA_011090175.1_103||full	0.667	dsDNAphage
GCA_011090175.1_22	65	79	69381	86338	0.9	0.9	65	79	69381	86338	0.9	0.9	1	1	79	3	86338	0.487	0.0	46.7	0.0	40.0	6.7	6.7	2	dsDNAphage	linear	GCA_011090175.1_22||0_partial	0.9	dsDNAphage
GCA_011090175.1_205	44	75	51723	67737	0.92	0.92	44	77	51723	70057	0.84	0.927	1	1	96	1	87881	0.227	0.0	28.3	2.2	8.7	8.7	52.2	1	dsDNAphage	linear	GCA_011090175.1_205||0_partial	0.92	dsDNAphage
