Description	Count	contig
CDS	2	GCA_015343595.1_681|69-1225
connector	0	GCA_015343595.1_681|69-1225
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_681|69-1225
head and packaging	0	GCA_015343595.1_681|69-1225
integration and excision	2	GCA_015343595.1_681|69-1225
lysis	0	GCA_015343595.1_681|69-1225
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_681|69-1225
other	0	GCA_015343595.1_681|69-1225
tail	0	GCA_015343595.1_681|69-1225
transcription regulation	0	GCA_015343595.1_681|69-1225
unknown function	0	GCA_015343595.1_681|69-1225
tRNAs	0	GCA_015343595.1_681|69-1225
CRISPRs	0	GCA_015343595.1_681|69-1225
tmRNAs	0	GCA_015343595.1_681|69-1225
VFDB_Virulence_Factors	0	GCA_015343595.1_681|69-1225
CARD_AMR_Genes	0	GCA_015343595.1_681|69-1225
