Description	Count	contig
CDS	10	GCA_013114135.1_38|127-5331
connector	0	GCA_013114135.1_38|127-5331
DNA, RNA and nucleotide metabolism	2	GCA_013114135.1_38|127-5331
head and packaging	2	GCA_013114135.1_38|127-5331
integration and excision	0	GCA_013114135.1_38|127-5331
lysis	0	GCA_013114135.1_38|127-5331
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_38|127-5331
other	0	GCA_013114135.1_38|127-5331
tail	0	GCA_013114135.1_38|127-5331
transcription regulation	0	GCA_013114135.1_38|127-5331
unknown function	6	GCA_013114135.1_38|127-5331
tRNAs	0	GCA_013114135.1_38|127-5331
CRISPRs	0	GCA_013114135.1_38|127-5331
tmRNAs	0	GCA_013114135.1_38|127-5331
VFDB_Virulence_Factors	0	GCA_013114135.1_38|127-5331
CARD_AMR_Genes	0	GCA_013114135.1_38|127-5331
