Description	Count	contig
CDS	4	GCA_015343595.1_798|16-3477
connector	0	GCA_015343595.1_798|16-3477
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_798|16-3477
head and packaging	0	GCA_015343595.1_798|16-3477
integration and excision	1	GCA_015343595.1_798|16-3477
lysis	0	GCA_015343595.1_798|16-3477
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_798|16-3477
other	0	GCA_015343595.1_798|16-3477
tail	0	GCA_015343595.1_798|16-3477
transcription regulation	0	GCA_015343595.1_798|16-3477
unknown function	1	GCA_015343595.1_798|16-3477
tRNAs	0	GCA_015343595.1_798|16-3477
CRISPRs	0	GCA_015343595.1_798|16-3477
tmRNAs	0	GCA_015343595.1_798|16-3477
VFDB_Virulence_Factors	0	GCA_015343595.1_798|16-3477
CARD_AMR_Genes	0	GCA_015343595.1_798|16-3477
