seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
GCA_006374495.1_70	1	3	1	4364	0.827	0.827	1	3	1	4364	NA	NA	0	1	3	1	4364	0.827	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	GCA_006374495.1_70||full	0.827	dsDNAphage
GCA_006374495.1_681	1	3	142	1204	0.887	0.887	1	3	142	1204	NA	NA	0	1	3	142	1204	0.887	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_006374495.1_681||full	0.887	ssDNA
GCA_006374495.1_679	1	3	3	1149	1.0	1.0	1	3	3	1149	NA	NA	0	1	3	3	1149	1.0	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	GCA_006374495.1_679||full	1.0	ssDNA
GCA_006374495.1_582	1	3	2	2283	1.0	1.0	1	3	2	2283	NA	NA	0	1	3	2	2283	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	GCA_006374495.1_582||full	1.0	ssDNA
GCA_006374495.1_530	1	2	305	1511	0.973	0.973	1	2	305	1511	NA	NA	0	1	2	305	1511	0.973	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006374495.1_530||full	0.973	ssDNA
GCA_006374495.1_523	1	4	2	3086	0.907	0.907	1	4	2	3086	NA	NA	0	1	4	2	3086	0.907	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006374495.1_523||full	0.907	ssDNA
GCA_006374495.1_397	1	3	285	1086	0.94	0.94	1	3	285	1086	NA	NA	0	1	3	285	1086	0.94	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	GCA_006374495.1_397||full	0.94	ssDNA
GCA_006374495.1_343	1	4	40	5539	0.787	0.787	1	4	40	5539	NA	NA	0	1	4	40	5539	0.787	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	GCA_006374495.1_343||full	0.787	ssDNA
GCA_006374495.1_305	1	3	2	2686	0.513	0.513	1	3	2	2686	NA	NA	0	1	3	2	2686	0.513	0.0	33.3	0.0	66.7	0.0	0.0	0	dsDNAphage	linear	GCA_006374495.1_305||full	0.513	dsDNAphage
GCA_006374495.1_243	1	11	2	7719	0.827	0.827	1	11	2	7719	NA	NA	0	1	11	2	7719	0.827	0.0	0.0	0.0	9.1	9.1	81.8	0	dsDNAphage	linear	GCA_006374495.1_243||full	0.827	dsDNAphage
