Description	Count	contig
CDS	9	GCA_015343595.1_1214|3-2887
connector	0	GCA_015343595.1_1214|3-2887
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1214|3-2887
head and packaging	0	GCA_015343595.1_1214|3-2887
integration and excision	1	GCA_015343595.1_1214|3-2887
lysis	0	GCA_015343595.1_1214|3-2887
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1214|3-2887
other	0	GCA_015343595.1_1214|3-2887
tail	0	GCA_015343595.1_1214|3-2887
transcription regulation	0	GCA_015343595.1_1214|3-2887
unknown function	8	GCA_015343595.1_1214|3-2887
tRNAs	0	GCA_015343595.1_1214|3-2887
CRISPRs	0	GCA_015343595.1_1214|3-2887
tmRNAs	0	GCA_015343595.1_1214|3-2887
VFDB_Virulence_Factors	0	GCA_015343595.1_1214|3-2887
CARD_AMR_Genes	0	GCA_015343595.1_1214|3-2887
