Description	Count	contig
CDS	9	GCA_015343595.1_277|221-7371
connector	0	GCA_015343595.1_277|221-7371
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_277|221-7371
head and packaging	0	GCA_015343595.1_277|221-7371
integration and excision	0	GCA_015343595.1_277|221-7371
lysis	0	GCA_015343595.1_277|221-7371
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_277|221-7371
other	1	GCA_015343595.1_277|221-7371
tail	0	GCA_015343595.1_277|221-7371
transcription regulation	1	GCA_015343595.1_277|221-7371
unknown function	7	GCA_015343595.1_277|221-7371
tRNAs	0	GCA_015343595.1_277|221-7371
CRISPRs	0	GCA_015343595.1_277|221-7371
tmRNAs	0	GCA_015343595.1_277|221-7371
VFDB_Virulence_Factors	0	GCA_015343595.1_277|221-7371
CARD_AMR_Genes	0	GCA_015343595.1_277|221-7371
