Description	Count	contig
CDS	18	GCA_013114135.1_13|51562-62367
connector	0	GCA_013114135.1_13|51562-62367
DNA, RNA and nucleotide metabolism	2	GCA_013114135.1_13|51562-62367
head and packaging	0	GCA_013114135.1_13|51562-62367
integration and excision	0	GCA_013114135.1_13|51562-62367
lysis	0	GCA_013114135.1_13|51562-62367
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_13|51562-62367
other	0	GCA_013114135.1_13|51562-62367
tail	0	GCA_013114135.1_13|51562-62367
transcription regulation	0	GCA_013114135.1_13|51562-62367
unknown function	16	GCA_013114135.1_13|51562-62367
tRNAs	0	GCA_013114135.1_13|51562-62367
CRISPRs	0	GCA_013114135.1_13|51562-62367
tmRNAs	0	GCA_013114135.1_13|51562-62367
VFDB_Virulence_Factors	0	GCA_013114135.1_13|51562-62367
CARD_AMR_Genes	0	GCA_013114135.1_13|51562-62367
