Description	Count	contig
CDS	2	GCA_013114135.1_88|113-1186
connector	0	GCA_013114135.1_88|113-1186
DNA, RNA and nucleotide metabolism	0	GCA_013114135.1_88|113-1186
head and packaging	0	GCA_013114135.1_88|113-1186
integration and excision	1	GCA_013114135.1_88|113-1186
lysis	0	GCA_013114135.1_88|113-1186
moron, auxiliary metabolic gene and host takeover	0	GCA_013114135.1_88|113-1186
other	0	GCA_013114135.1_88|113-1186
tail	0	GCA_013114135.1_88|113-1186
transcription regulation	0	GCA_013114135.1_88|113-1186
unknown function	1	GCA_013114135.1_88|113-1186
tRNAs	0	GCA_013114135.1_88|113-1186
CRISPRs	0	GCA_013114135.1_88|113-1186
tmRNAs	0	GCA_013114135.1_88|113-1186
VFDB_Virulence_Factors	0	GCA_013114135.1_88|113-1186
CARD_AMR_Genes	0	GCA_013114135.1_88|113-1186
