Description	Count	contig
CDS	2	GCA_015343595.1_1018|1-1144
connector	0	GCA_015343595.1_1018|1-1144
DNA, RNA and nucleotide metabolism	2	GCA_015343595.1_1018|1-1144
head and packaging	0	GCA_015343595.1_1018|1-1144
integration and excision	0	GCA_015343595.1_1018|1-1144
lysis	0	GCA_015343595.1_1018|1-1144
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_1018|1-1144
other	0	GCA_015343595.1_1018|1-1144
tail	0	GCA_015343595.1_1018|1-1144
transcription regulation	0	GCA_015343595.1_1018|1-1144
unknown function	0	GCA_015343595.1_1018|1-1144
tRNAs	0	GCA_015343595.1_1018|1-1144
CRISPRs	0	GCA_015343595.1_1018|1-1144
tmRNAs	0	GCA_015343595.1_1018|1-1144
VFDB_Virulence_Factors	0	GCA_015343595.1_1018|1-1144
CARD_AMR_Genes	0	GCA_015343595.1_1018|1-1144
