Description	Count	contig
CDS	4	GCA_015343595.1_950|3-4055
connector	0	GCA_015343595.1_950|3-4055
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_950|3-4055
head and packaging	0	GCA_015343595.1_950|3-4055
integration and excision	0	GCA_015343595.1_950|3-4055
lysis	0	GCA_015343595.1_950|3-4055
moron, auxiliary metabolic gene and host takeover	1	GCA_015343595.1_950|3-4055
other	0	GCA_015343595.1_950|3-4055
tail	2	GCA_015343595.1_950|3-4055
transcription regulation	0	GCA_015343595.1_950|3-4055
unknown function	1	GCA_015343595.1_950|3-4055
tRNAs	0	GCA_015343595.1_950|3-4055
CRISPRs	0	GCA_015343595.1_950|3-4055
tmRNAs	0	GCA_015343595.1_950|3-4055
VFDB_Virulence_Factors	0	GCA_015343595.1_950|3-4055
CARD_AMR_Genes	0	GCA_015343595.1_950|3-4055
