Description	Count	contig
CDS	3	GCA_015343595.1_896|3-2007
connector	0	GCA_015343595.1_896|3-2007
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_896|3-2007
head and packaging	1	GCA_015343595.1_896|3-2007
integration and excision	0	GCA_015343595.1_896|3-2007
lysis	0	GCA_015343595.1_896|3-2007
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_896|3-2007
other	0	GCA_015343595.1_896|3-2007
tail	0	GCA_015343595.1_896|3-2007
transcription regulation	0	GCA_015343595.1_896|3-2007
unknown function	2	GCA_015343595.1_896|3-2007
tRNAs	0	GCA_015343595.1_896|3-2007
CRISPRs	0	GCA_015343595.1_896|3-2007
tmRNAs	0	GCA_015343595.1_896|3-2007
VFDB_Virulence_Factors	0	GCA_015343595.1_896|3-2007
CARD_AMR_Genes	0	GCA_015343595.1_896|3-2007
