gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
TPDXPDVG_CDS_0001	603	1	-	GCA_015343595.1_579|231-11654	-4013.324468764159	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	TPDXPDVG_CDS_0001
TPDXPDVG_CDS_0002	847	734	-	GCA_015343595.1_579|231-11654	-0.0714746962630309	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	TPDXPDVG_CDS_0002
TPDXPDVG_CDS_0003	955	863	-	GCA_015343595.1_579|231-11654	-0.0740743604384442	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	TPDXPDVG_CDS_0003
TPDXPDVG_CDS_0004	971	1297	+	GCA_015343595.1_579|231-11654	-76.26498864959677	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	TPDXPDVG_CDS_0004
TPDXPDVG_CDS_0005	1313	1732	+	GCA_015343595.1_579|231-11654	-930.9912512260252	44	83.0	0.385	9.695e-23	p256451 VI_01358	PHANOTATE	CDS	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	TPDXPDVG_CDS_0005
TPDXPDVG_CDS_0006	1812	2630	+	GCA_015343595.1_579|231-11654	-446141.77711985377	252	197.0	0.55	4.4989999999999995e-60	KX160213_p8	PHANOTATE	CDS	#ffdf59	Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	TPDXPDVG_CDS_0006
TPDXPDVG_CDS_0007	2712	2855	+	GCA_015343595.1_579|231-11654	-4.780251940862425	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	TPDXPDVG_CDS_0007
TPDXPDVG_CDS_0008	2916	3932	+	GCA_015343595.1_579|231-11654	-6132124.444303153	434	57.0	0.205	2.984e-12	p212641 VI_05731	PHANOTATE	CDS	#ffdf59	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	TPDXPDVG_CDS_0008
TPDXPDVG_CDS_0009	4025	5101	+	GCA_015343595.1_579|231-11654	-1419991.46119244	249	145.0	0.399	3.911e-40	p7105 VI_06601	PHANOTATE	CDS	#ff59f5	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	TPDXPDVG_CDS_0009
TPDXPDVG_CDS_0010	5101	5868	+	GCA_015343595.1_579|231-11654	-819091.9956754666	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	TPDXPDVG_CDS_0010
TPDXPDVG_CDS_0011	5967	6920	+	GCA_015343595.1_579|231-11654	-1097824.0215081077	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	TPDXPDVG_CDS_0011
TPDXPDVG_CDS_0012	6982	7422	+	GCA_015343595.1_579|231-11654	-1316.642407302696	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	TPDXPDVG_CDS_0012
TPDXPDVG_CDS_0013	7492	9147	+	GCA_015343595.1_579|231-11654	-18171033132.182743	1576	59.0	0.224	2.607e-12	p7104 VI_06601	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	TPDXPDVG_CDS_0013
TPDXPDVG_CDS_0014	9231	9728	+	GCA_015343595.1_579|231-11654	-1937.9550011055487	10276	121.0	0.579	2.11e-34	p15448 VI_00094	PHANOTATE	CDS	#ffdf59	DNA repair protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	TPDXPDVG_CDS_0014
TPDXPDVG_CDS_0015	9728	10069	+	GCA_015343595.1_579|231-11654	-113.11056992221974	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	TPDXPDVG_CDS_0015
TPDXPDVG_CDS_0016	10160	11227	+	GCA_015343595.1_579|231-11654	-7330422.802403667	510	118.0	0.26	1.8760000000000001e-31	p276824 VI_04255	PHANOTATE	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	TPDXPDVG_CDS_0016
TPDXPDVG_CDS_0017	11317	11424	+	GCA_015343595.1_579|231-11654	-11.605056516779952	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	TPDXPDVG_CDS_0017
