Description	Count	contig
CDS	17	GCA_015343595.1_579|231-11654
connector	0	GCA_015343595.1_579|231-11654
DNA, RNA and nucleotide metabolism	5	GCA_015343595.1_579|231-11654
head and packaging	0	GCA_015343595.1_579|231-11654
integration and excision	0	GCA_015343595.1_579|231-11654
lysis	0	GCA_015343595.1_579|231-11654
moron, auxiliary metabolic gene and host takeover	1	GCA_015343595.1_579|231-11654
other	0	GCA_015343595.1_579|231-11654
tail	0	GCA_015343595.1_579|231-11654
transcription regulation	0	GCA_015343595.1_579|231-11654
unknown function	11	GCA_015343595.1_579|231-11654
tRNAs	0	GCA_015343595.1_579|231-11654
CRISPRs	0	GCA_015343595.1_579|231-11654
tmRNAs	0	GCA_015343595.1_579|231-11654
VFDB_Virulence_Factors	0	GCA_015343595.1_579|231-11654
CARD_AMR_Genes	0	GCA_015343595.1_579|231-11654
