Description	Count	contig
CDS	4	GCA_015343595.1_612|3-3396
connector	0	GCA_015343595.1_612|3-3396
DNA, RNA and nucleotide metabolism	1	GCA_015343595.1_612|3-3396
head and packaging	0	GCA_015343595.1_612|3-3396
integration and excision	0	GCA_015343595.1_612|3-3396
lysis	0	GCA_015343595.1_612|3-3396
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_612|3-3396
other	0	GCA_015343595.1_612|3-3396
tail	0	GCA_015343595.1_612|3-3396
transcription regulation	0	GCA_015343595.1_612|3-3396
unknown function	3	GCA_015343595.1_612|3-3396
tRNAs	0	GCA_015343595.1_612|3-3396
CRISPRs	0	GCA_015343595.1_612|3-3396
tmRNAs	0	GCA_015343595.1_612|3-3396
VFDB_Virulence_Factors	0	GCA_015343595.1_612|3-3396
CARD_AMR_Genes	0	GCA_015343595.1_612|3-3396
