Description	Count	contig
CDS	5	GCA_015343595.1_874|1-1817
connector	0	GCA_015343595.1_874|1-1817
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_874|1-1817
head and packaging	0	GCA_015343595.1_874|1-1817
integration and excision	0	GCA_015343595.1_874|1-1817
lysis	0	GCA_015343595.1_874|1-1817
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_874|1-1817
other	1	GCA_015343595.1_874|1-1817
tail	0	GCA_015343595.1_874|1-1817
transcription regulation	1	GCA_015343595.1_874|1-1817
unknown function	3	GCA_015343595.1_874|1-1817
tRNAs	0	GCA_015343595.1_874|1-1817
CRISPRs	0	GCA_015343595.1_874|1-1817
tmRNAs	0	GCA_015343595.1_874|1-1817
VFDB_Virulence_Factors	0	GCA_015343595.1_874|1-1817
CARD_AMR_Genes	0	GCA_015343595.1_874|1-1817
