Description	Count	contig
CDS	4	GCA_015343595.1_966|2-1203
connector	0	GCA_015343595.1_966|2-1203
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_966|2-1203
head and packaging	0	GCA_015343595.1_966|2-1203
integration and excision	0	GCA_015343595.1_966|2-1203
lysis	0	GCA_015343595.1_966|2-1203
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_966|2-1203
other	0	GCA_015343595.1_966|2-1203
tail	0	GCA_015343595.1_966|2-1203
transcription regulation	0	GCA_015343595.1_966|2-1203
unknown function	4	GCA_015343595.1_966|2-1203
tRNAs	0	GCA_015343595.1_966|2-1203
CRISPRs	0	GCA_015343595.1_966|2-1203
tmRNAs	0	GCA_015343595.1_966|2-1203
VFDB_Virulence_Factors	0	GCA_015343595.1_966|2-1203
CARD_AMR_Genes	0	GCA_015343595.1_966|2-1203
