Description	Count	contig
CDS	97	GCA_013114135.1_14|155-62377
connector	3	GCA_013114135.1_14|155-62377
DNA, RNA and nucleotide metabolism	3	GCA_013114135.1_14|155-62377
head and packaging	5	GCA_013114135.1_14|155-62377
integration and excision	3	GCA_013114135.1_14|155-62377
lysis	1	GCA_013114135.1_14|155-62377
moron, auxiliary metabolic gene and host takeover	1	GCA_013114135.1_14|155-62377
other	1	GCA_013114135.1_14|155-62377
tail	8	GCA_013114135.1_14|155-62377
transcription regulation	3	GCA_013114135.1_14|155-62377
unknown function	69	GCA_013114135.1_14|155-62377
tRNAs	0	GCA_013114135.1_14|155-62377
CRISPRs	0	GCA_013114135.1_14|155-62377
tmRNAs	0	GCA_013114135.1_14|155-62377
VFDB_Virulence_Factors	0	GCA_013114135.1_14|155-62377
CARD_AMR_Genes	0	GCA_013114135.1_14|155-62377
