Description	Count	contig
CDS	2	GCA_015343595.1_1088|3-1633
connector	0	GCA_015343595.1_1088|3-1633
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_1088|3-1633
head and packaging	0	GCA_015343595.1_1088|3-1633
integration and excision	0	GCA_015343595.1_1088|3-1633
lysis	0	GCA_015343595.1_1088|3-1633
moron, auxiliary metabolic gene and host takeover	1	GCA_015343595.1_1088|3-1633
other	0	GCA_015343595.1_1088|3-1633
tail	0	GCA_015343595.1_1088|3-1633
transcription regulation	0	GCA_015343595.1_1088|3-1633
unknown function	1	GCA_015343595.1_1088|3-1633
tRNAs	0	GCA_015343595.1_1088|3-1633
CRISPRs	0	GCA_015343595.1_1088|3-1633
tmRNAs	0	GCA_015343595.1_1088|3-1633
VFDB_Virulence_Factors	0	GCA_015343595.1_1088|3-1633
CARD_AMR_Genes	0	GCA_015343595.1_1088|3-1633
