gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	count	locus_tag
SGWCKHMI_CDS_0001	204	1	-	GCA_008083745.1_43_141674-221498	-130.89492959799264	35967	174.0	1.0	7.418000000000001e-55	p185337 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0001	SGWCKHMI_CDS_0001
SGWCKHMI_CDS_0002	194	322	+	GCA_008083745.1_43_141674-221498	-0.0933645286830159	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0002	SGWCKHMI_CDS_0002
SGWCKHMI_CDS_0003	655	551	-	GCA_008083745.1_43_141674-221498	-5.154159011392164	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0003	SGWCKHMI_CDS_0003
SGWCKHMI_CDS_0004	954	1166	+	GCA_008083745.1_43_141674-221498	-11.465641415354794	729	118.0	0.805	3.063e-35	p93651 VI_03852	PHANOTATE	CDS	#838383	cold shock protein	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0004	SGWCKHMI_CDS_0004
SGWCKHMI_CDS_0005	1191	1283	+	GCA_008083745.1_43_141674-221498	-0.5499582218610823	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0005	SGWCKHMI_CDS_0005
SGWCKHMI_CDS_0006	1475	3691	+	GCA_008083745.1_43_141674-221498	-4464007092638129.0	13933	1410.0	0.914	0.0	p185335 VI_11786	PHANOTATE	CDS	#ffdf59	nuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0006	SGWCKHMI_CDS_0006
SGWCKHMI_CDS_0007	3651	3827	+	GCA_008083745.1_43_141674-221498	-4.724678306130463	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0007	SGWCKHMI_CDS_0007
SGWCKHMI_CDS_0008	5302	3824	-	GCA_008083745.1_43_141674-221498	-65877566475.78407	601	233.0	0.596	1.962e-70	p280433 VI_07926	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0008	SGWCKHMI_CDS_0008
SGWCKHMI_CDS_0009	5562	5302	-	GCA_008083745.1_43_141674-221498	-9.848990156990135	594	136.0	0.76	5.675999999999999e-41	p185251 VI_11784	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0009	SGWCKHMI_CDS_0009
SGWCKHMI_CDS_0010	5942	5565	-	GCA_008083745.1_43_141674-221498	-256.093268256248	596	215.0	0.827	6.755e-68	p185332 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0010	SGWCKHMI_CDS_0010
SGWCKHMI_CDS_0011	6596	5946	-	GCA_008083745.1_43_141674-221498	-2067.1500382454506	611	128.0	0.663	5.2969999999999995e-37	p37027 VI_01908	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0011	SGWCKHMI_CDS_0011
SGWCKHMI_CDS_0012	6991	6596	-	GCA_008083745.1_43_141674-221498	-438.6117552134243	610	197.0	0.834	1.071e-61	p185330 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0012	SGWCKHMI_CDS_0012
SGWCKHMI_CDS_0013	7340	6978	-	GCA_008083745.1_43_141674-221498	-118.72911747073908	35787	310.0	1.0	4.612e-101	p185329 VI_11786	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0013	SGWCKHMI_CDS_0013
SGWCKHMI_CDS_0014	9321	7345	-	GCA_008083745.1_43_141674-221498	-275635766.620124	496	448.0	0.51	1.976e-141	p281357 VI_09996	PHANOTATE	CDS	#07e9a2	tail fiber protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0014	SGWCKHMI_CDS_0014
SGWCKHMI_CDS_0015	10928	9321	-	GCA_008083745.1_43_141674-221498	-74635271.16992752	511	220.0	0.318	7.338e-63	p395194 VI_01310	PHANOTATE	CDS	#3e83f6	internal virion protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0015	SGWCKHMI_CDS_0015
SGWCKHMI_CDS_0016	13520	11001	-	GCA_008083745.1_43_141674-221498	-411750635074.5553	36330	2063.0	1.0	0.0	p185244 VI_11784	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0016	SGWCKHMI_CDS_0016
SGWCKHMI_CDS_0017	14149	13520	-	GCA_008083745.1_43_141674-221498	-11617.66756104042	399	173.0	0.447	2.3489999999999998e-51	p26986 VI_03058	PHANOTATE	CDS	#3e83f6	structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0017	SGWCKHMI_CDS_0017
