Description	Count	contig
CDS	2	GCA_015343595.1_928|2-1322
connector	0	GCA_015343595.1_928|2-1322
DNA, RNA and nucleotide metabolism	0	GCA_015343595.1_928|2-1322
head and packaging	0	GCA_015343595.1_928|2-1322
integration and excision	1	GCA_015343595.1_928|2-1322
lysis	0	GCA_015343595.1_928|2-1322
moron, auxiliary metabolic gene and host takeover	0	GCA_015343595.1_928|2-1322
other	0	GCA_015343595.1_928|2-1322
tail	0	GCA_015343595.1_928|2-1322
transcription regulation	0	GCA_015343595.1_928|2-1322
unknown function	1	GCA_015343595.1_928|2-1322
tRNAs	0	GCA_015343595.1_928|2-1322
CRISPRs	0	GCA_015343595.1_928|2-1322
tmRNAs	0	GCA_015343595.1_928|2-1322
VFDB_Virulence_Factors	0	GCA_015343595.1_928|2-1322
CARD_AMR_Genes	0	GCA_015343595.1_928|2-1322
